Date,Stump Lakes (797) Air Temperature Average (degF),Stump Lakes (797) Air Temperature Minimum (degF),Stump Lakes (797) Air Temperature Maximum (degF),Stump Lakes (797) Precipitation Accumulation (in) Start of Day Values,Stump Lakes (797) Precipitation Increment (in),Stump Lakes (797) Snow Water Equivalent (in) Start of Day Values,Stump Lakes (797) Snow Depth (in) Start of Day Values
2015-10-01,51.1,43.0,62.2,0.0,0.0,0.0,0
2015-10-02,46.0,36.7,54.9,0.0,0.0,0.0,0
2015-10-03,39.6,31.6,50.7,0.0,0.0,0.0,0
2015-10-04,38.5,33.3,48.0,0.0,0.0,0.0,0
2015-10-05,36.5,32.5,44.1,0.0,1.5,0.0,0
2015-10-06,35.6,32.2,43.2,1.5,0.1,0.0,0
2015-10-07,37.4,33.1,45.5,1.6,0.1,0.0,0
2015-10-08,43.2,34.5,54.1,1.7,0.0,0.0,0
2015-10-09,41.9,34.2,54.7,1.7,0.1,0.0,0
2015-10-10,43.7,34.9,57.0,1.8,0.0,0.0,0
2015-10-11,44.6,36.1,59.4,1.8,0.0,0.0,0
2015-10-12,45.5,35.1,59.2,1.8,0.0,0.0,0
2015-10-13,48.0,38.3,61.0,1.8,0.0,0.0,0
2015-10-14,45.9,36.1,60.6,1.8,0.0,0.0,0
2015-10-15,45.9,36.9,58.5,1.8,0.0,0.0,0
2015-10-16,41.0,33.4,50.0,1.8,0.0,0.0,0
2015-10-17,37.2,32.9,44.4,1.8,0.0,0.0,0
2015-10-18,36.9,32.5,43.9,1.8,1.0,0.0,0
2015-10-19,35.8,32.5,43.0,2.8,0.7,0.0,0
2015-10-20,33.4,29.1,42.3,3.5,0.3,0.0,0
2015-10-21,31.6,29.7,37.2,3.8,0.2,0.0,0
2015-10-22,29.7,26.4,32.7,4.0,0.4,0.2,1
2015-10-23,29.3,22.3,39.0,4.4,0.0,0.5,3
2015-10-24,31.3,24.8,42.3,4.4,0.0,0.5,2
2015-10-25,32.5,25.7,44.4,4.4,0.0,0.5,2
2015-10-26,30.6,23.5,38.3,4.4,0.0,0.5,2
2015-10-27,30.7,23.4,40.1,4.4,0.1,0.5,1
2015-10-28,32.5,21.9,43.7,4.5,0.0,0.7,1
2015-10-29,29.7,27.1,36.9,4.5,0.1,0.7,1
2015-10-30,27.1,17.4,37.8,4.6,0.0,0.7,2
2015-10-31,32.2,21.6,44.2,4.6,0.2,0.7,2
2015-11-01,37.4,29.5,49.5,4.8,0.0,0.7,2
2015-11-02,35.8,28.2,47.5,4.8,0.0,0.7,2
2015-11-03,32.7,27.0,40.8,4.8,0.0,0.7,3
2015-11-04,21.2,13.8,28.4,4.8,0.7,0.7,3
2015-11-05,14.2,7.5,23.5,5.5,0.0,1.5,11
2015-11-06,17.1,12.7,25.3,5.5,0.1,1.5,11
2015-11-07,18.9,9.3,32.0,5.6,0.0,1.5,11
2015-11-08,20.8,11.1,34.7,5.6,0.0,1.6,10
2015-11-09,24.6,13.1,36.1,5.6,0.2,1.6,9
2015-11-10,21.4,11.1,30.4,5.8,0.0,1.7,9
2015-11-11,14.7,9.1,24.3,5.8,0.1,1.8,11
2015-11-12,21.7,12.0,34.2,5.9,0.1,1.8,12
2015-11-13,25.3,16.5,38.7,6.0,0.0,1.8,11
2015-11-14,27.0,18.3,40.5,6.0,0.0,1.9,10
2015-11-15,24.4,17.6,32.4,6.0,0.2,2.0,9
2015-11-16,18.0,11.1,25.9,6.2,0.5,2.2,12
2015-11-17,19.0,12.6,25.9,6.7,0.1,2.7,17
2015-11-18,22.1,16.7,33.3,6.8,0.0,2.8,16
2015-11-19,26.6,19.2,36.0,6.8,0.1,2.8,15
2015-11-20,25.5,13.6,35.1,6.9,0.0,2.8,15
2015-11-21,21.4,10.8,34.2,6.9,0.0,2.8,14
2015-11-22,27.3,19.2,41.9,6.9,0.0,2.8,14
2015-11-23,27.0,19.9,38.7,6.9,0.0,2.8,14
2015-11-24,24.1,17.1,36.3,6.9,0.0,2.8,13
2015-11-25,25.2,19.6,30.7,6.9,0.1,2.8,14
2015-11-26,20.8,18.7,24.8,7.0,0.1,2.9,13
2015-11-27,19.8,12.4,25.0,7.1,0.1,3.1,18
2015-11-28,13.6,5.9,23.9,7.2,0.1,3.2,18
2015-11-29,11.3,4.6,16.9,7.3,0.0,3.2,17
2015-11-30,4.6,-2.0,12.4,7.3,0.1,3.3,20
2015-12-01,12.4,1.0,25.2,7.4,0.1,3.3,19
2015-12-02,20.1,9.7,33.1,7.5,0.1,3.3,17
2015-12-03,25.3,16.3,38.1,7.6,0.0,3.5,18
2015-12-04,25.5,20.1,34.2,7.6,0.1,3.5,18
2015-12-05,17.6,9.9,23.4,7.7,0.0,3.5,18
2015-12-06,27.7,16.3,40.5,7.7,0.1,3.5,18
2015-12-07,30.9,23.2,40.1,7.8,0.1,3.7,18
2015-12-08,32.7,25.3,44.4,7.9,0.0,3.7,18
2015-12-09,34.5,27.1,41.4,7.9,0.0,3.7,17
2015-12-10,30.6,27.0,36.3,7.9,0.0,3.7,15
2015-12-11,24.3,19.6,27.7,7.9,0.0,3.6,17
2015-12-12,20.3,16.9,24.4,7.9,0.2,3.6,18
2015-12-13,23.2,12.0,34.2,8.1,0.1,4.2,24
2015-12-14,12.6,4.6,19.9,8.2,0.3,4.2,23
2015-12-15,2.5,-5.1,8.2,8.5,0.1,4.5,28
2015-12-16,3.9,-3.8,15.4,8.6,0.2,4.5,30
2015-12-17,6.8,-1.3,15.8,8.8,0.1,4.6,29
2015-12-18,22.6,15.3,32.9,8.9,0.1,4.7,28
2015-12-19,24.8,16.9,34.3,9.0,0.1,4.8,26
2015-12-20,15.8,10.0,21.0,9.1,0.2,5.0,25
2015-12-21,14.5,7.9,20.7,9.3,0.2,5.3,31
2015-12-22,16.7,15.1,19.6,9.5,0.7,5.7,33
2015-12-23,9.9,-2.6,15.3,10.2,0.4,6.4,40
2015-12-24,6.8,-5.1,14.9,10.6,0.4,6.7,45
2015-12-25,7.2,-6.7,15.1,11.0,0.5,7.2,45
2015-12-26,3.4,-8.3,13.1,11.5,0.1,7.6,47
2015-12-27,13.3,5.9,25.9,11.6,0.0,7.8,45
2015-12-28,12.2,5.9,23.7,11.6,0.0,7.8,42
2015-12-29,5.2,-2.6,14.0,11.6,0.0,7.8,40
2015-12-30,4.3,-2.7,12.2,11.6,0.1,7.8,40
2015-12-31,5.2,-0.4,15.1,11.7,0.0,7.8,39
2016-01-01,8.1,-0.4,20.3,11.7,0.1,7.8,39
2016-01-02,19.8,6.6,34.2,11.8,0.1,7.8,38
2016-01-03,21.6,14.9,30.7,11.9,0.0,8.0,37
2016-01-04,20.7,15.8,27.9,11.9,0.1,8.1,37
2016-01-05,17.2,10.8,21.2,12.0,0.0,8.2,35
2016-01-06,17.6,14.5,21.9,12.0,0.3,8.3,31
2016-01-07,13.6,8.4,19.8,12.3,0.1,8.8,41
2016-01-08,10.0,1.4,16.5,12.4,0.4,8.9,44
2016-01-09,5.4,-3.8,16.5,12.8,0.1,9.1,47
2016-01-10,2.1,-5.3,12.9,12.9,0.0,9.1,42
2016-01-11,11.5,1.0,29.3,12.9,0.1,9.1,43
2016-01-12,20.7,9.0,33.4,13.0,0.2,9.3,42
2016-01-13,23.5,14.7,37.4,13.2,0.0,9.5,41
2016-01-14,13.6,6.1,21.4,13.2,0.0,9.5,41
2016-01-15,10.4,0.3,15.6,13.2,0.0,9.5,40
2016-01-16,11.3,0.0,21.7,13.2,0.0,9.5,40
2016-01-17,16.2,10.2,25.2,13.2,0.0,9.6,39
2016-01-18,22.5,16.3,30.6,13.2,0.1,9.6,41
2016-01-19,16.0,7.9,25.3,13.3,0.0,9.8,39
2016-01-20,13.5,5.5,22.5,13.3,0.0,9.8,41
2016-01-21,18.7,2.8,30.6,13.3,0.2,9.8,42
2016-01-22,27.3,19.4,40.5,13.5,0.0,10.0,40
2016-01-23,27.1,21.0,36.3,13.5,0.0,10.0,40
2016-01-24,14.9,3.0,21.6,13.5,0.0,10.0,38
2016-01-25,5.4,-1.8,15.8,13.5,0.0,10.2,44
2016-01-26,10.2,-2.0,21.4,13.5,0.1,10.2,41
2016-01-27,26.4,14.2,41.0,13.6,0.1,10.3,39
2016-01-28,27.9,20.5,41.7,13.7,0.1,10.4,41
2016-01-29,27.7,20.8,37.8,13.8,0.0,10.4,41
2016-01-30,27.0,22.5,34.7,13.8,0.0,10.4,40
2016-01-31,21.4,20.7,22.5,13.8,0.9,10.7,40
2016-02-01,9.5,-0.9,20.8,14.7,0.8,12.0,51
2016-02-02,0.3,-7.2,10.0,15.5,0.0,12.8,57
2016-02-03,-4.5,-12.1,6.8,15.5,0.1,12.8,56
2016-02-04,4.5,-8.0,16.7,15.6,0.1,12.8,54
2016-02-05,6.8,-4.2,18.3,15.7,0.1,12.9,52
2016-02-06,20.5,8.2,33.3,15.8,0.1,12.9,52
2016-02-07,28.8,20.7,37.0,15.9,0.1,13.1,51
2016-02-08,29.3,19.0,40.6,16.0,0.0,13.2,50
2016-02-09,30.6,19.8,46.2,16.0,0.0,13.2,50
