Date,Summit Ranch (802) Air Temperature Average (degF),Summit Ranch (802) Air Temperature Minimum (degF),Summit Ranch (802) Air Temperature Maximum (degF),Summit Ranch (802) Precipitation Accumulation (in) Start of Day Values,Summit Ranch (802) Precipitation Increment (in),Summit Ranch (802) Snow Water Equivalent (in) Start of Day Values,Summit Ranch (802) Snow Depth (in) Start of Day Values
2015-10-01,52.7,36.1,70.2,0.0,0.0,0.0,0
2015-10-02,51.4,36.1,69.1,0.0,0.0,0.0,0
2015-10-03,45.5,28.8,61.3,0.0,0.0,0.0,0
2015-10-04,47.5,30.2,64.2,0.0,0.0,0.0,0
2015-10-05,43.2,30.2,59.4,0.0,0.0,0.0,0
2015-10-06,42.3,33.4,55.8,0.0,0.0,0.0,0
2015-10-07,40.8,29.7,58.5,0.0,0.1,0.0,0
2015-10-08,44.2,28.8,61.3,0.1,0.0,0.0,0
2015-10-09,46.2,30.0,65.7,0.1,0.0,0.0,0
2015-10-10,46.0,30.7,65.8,0.1,0.0,0.0,0
2015-10-11,47.8,31.8,65.5,0.1,0.0,0.0,0
2015-10-12,43.9,28.8,63.5,0.1,0.0,0.0,0
2015-10-13,44.1,28.2,65.5,0.1,0.0,0.0,0
2015-10-14,45.7,30.7,65.7,0.1,0.0,0.0,0
2015-10-15,46.2,29.1,63.1,0.1,0.0,0.0,0
2015-10-16,46.4,28.8,66.0,0.1,0.0,0.0,0
2015-10-17,43.7,28.8,63.1,0.1,0.0,0.0,0
2015-10-18,43.7,32.7,56.8,0.1,0.0,0.0,0
2015-10-19,38.8,30.4,47.8,0.1,0.0,0.0,0
2015-10-20,39.0,29.1,54.9,0.1,0.0,0.0,0
2015-10-21,39.9,30.6,46.0,0.1,0.0,0.0,0
2015-10-22,32.7,30.0,37.0,0.1,0.6,0.0,0
2015-10-23,34.3,25.9,44.6,0.7,0.1,0.8,4
2015-10-24,31.8,21.6,47.5,0.8,0.1,0.7,3
2015-10-25,36.3,21.4,53.4,0.9,0.1,0.6,2
2015-10-26,35.1,25.5,45.5,1.0,0.0,0.3,1
2015-10-27,29.8,17.6,41.4,1.0,0.1,0.2,1
2015-10-28,27.5,12.4,41.9,1.1,0.2,0.4,3
2015-10-29,33.1,23.2,47.5,1.3,0.0,0.4,2
2015-10-30,29.3,19.9,36.5,1.3,0.0,0.2,1
2015-10-31,32.5,24.8,44.6,1.3,0.0,0.2,1
2015-11-01,38.1,24.4,53.1,1.3,0.0,0.1,1
2015-11-02,38.7,26.2,59.2,1.3,0.0,0.0,0
2015-11-03,39.9,26.8,55.2,1.3,0.0,0.0,0
2015-11-04,32.4,24.6,42.4,1.3,0.1,0.0,0
2015-11-05,22.6,19.4,26.2,1.4,0.2,0.4,1
2015-11-06,18.0,8.1,24.8,1.6,0.3,0.5,4
2015-11-07,17.2,-0.4,33.3,1.9,0.0,0.7,6
2015-11-08,23.4,7.9,40.1,1.9,0.0,0.7,4
2015-11-09,25.9,9.0,44.4,1.9,0.1,0.7,4
2015-11-10,36.5,24.4,47.8,2.0,0.1,0.8,3
2015-11-11,16.3,3.2,24.4,2.1,0.1,1.1,5
2015-11-12,16.3,1.8,34.0,2.2,0.1,1.1,7
2015-11-13,19.0,2.8,38.5,2.3,0.0,1.1,7
2015-11-14,23.9,9.3,43.2,2.3,0.0,1.1,6
2015-11-15,25.3,9.3,47.3,2.3,0.1,1.1,5
2015-11-16,24.8,19.2,30.9,2.4,0.1,1.2,6
2015-11-17,19.2,16.7,24.1,2.5,0.2,1.6,10
2015-11-18,22.6,14.5,30.4,2.7,0.2,1.7,9
2015-11-19,29.8,19.6,38.5,2.9,0.1,2.0,12
2015-11-20,23.0,-3.5,33.3,3.0,0.5,2.1,10
2015-11-21,9.0,-11.2,27.1,3.5,0.1,2.6,17
2015-11-22,19.8,4.1,40.3,3.6,0.1,2.6,15
2015-11-23,22.6,7.7,45.9,3.7,0.0,2.6,14
2015-11-24,24.3,12.0,43.2,3.7,0.0,2.6,14
2015-11-25,30.7,9.3,48.9,3.7,0.1,2.6,13
2015-11-26,24.6,15.3,33.4,3.8,0.0,2.7,13
2015-11-27,20.1,5.9,29.5,3.8,0.0,2.8,16
2015-11-28,17.4,2.3,27.1,3.8,0.0,2.8,14
2015-11-29,15.3,1.2,26.8,3.8,0.2,2.9,15
2015-11-30,7.0,-2.2,15.4,4.0,0.0,3.1,17
2015-12-01,5.5,-6.0,19.4,4.0,0.0,3.1,16
2015-12-02,11.1,-5.4,29.1,4.0,0.2,3.1,16
2015-12-03,19.6,4.1,34.7,4.2,0.0,3.1,16
2015-12-04,27.1,3.9,49.1,4.2,0.0,3.1,15
2015-12-05,17.6,2.5,28.8,4.2,0.0,3.1,14
2015-12-06,21.6,-3.5,41.7,4.2,0.1,3.1,17
2015-12-07,34.0,18.9,43.0,4.3,0.1,3.3,15
2015-12-08,31.6,18.0,43.2,4.4,0.0,3.3,15
2015-12-09,34.3,16.2,50.4,4.4,0.0,3.3,15
2015-12-10,37.4,27.0,44.4,4.4,0.0,3.3,14
2015-12-11,27.9,21.0,38.3,4.4,0.0,3.3,14
2015-12-12,21.2,16.2,27.5,4.4,0.1,3.4,17
2015-12-13,13.1,0.0,28.8,4.5,0.0,3.7,19
2015-12-14,21.6,4.3,38.3,4.5,0.2,3.7,18
2015-12-15,11.3,1.4,19.4,4.7,0.1,3.8,20
2015-12-16,5.4,-6.3,13.1,4.8,0.1,4.0,21
2015-12-17,4.3,-6.9,15.6,4.9,0.1,4.0,20
2015-12-18,17.8,6.8,28.8,5.0,0.0,4.0,20
2015-12-19,27.5,5.7,46.0,5.0,0.1,4.1,20
2015-12-20,25.5,19.2,36.0,5.1,0.0,4.2,19
2015-12-21,22.6,18.9,28.4,5.1,0.1,4.2,20
2015-12-22,25.0,16.7,30.6,5.2,0.2,4.4,21
2015-12-23,13.8,6.4,21.0,5.4,0.5,4.7,26
2015-12-24,9.7,1.2,17.4,5.9,0.1,5.2,29
2015-12-25,13.8,6.6,23.2,6.0,0.1,5.2,27
2015-12-26,-2.0,-14.3,9.0,6.1,0.0,5.3,28
2015-12-27,1.9,-16.1,22.6,6.1,0.1,5.3,27
2015-12-28,7.7,-7.4,25.3,6.2,0.0,5.3,26
2015-12-29,8.6,-5.1,23.2,6.2,0.0,5.4,26
2015-12-30,5.0,-4.4,12.4,6.2,0.0,5.4,26
2015-12-31,-1.1,-14.8,13.6,6.2,0.0,5.5,26
2016-01-01,-1.8,-15.9,16.9,6.2,0.1,5.5,26
2016-01-02,7.3,-9.4,31.6,6.3,0.1,5.5,26
2016-01-03,17.6,3.7,39.4,6.4,0.0,5.5,26
2016-01-04,21.0,10.4,36.9,6.4,0.0,5.6,26
2016-01-05,21.4,11.8,34.0,6.4,0.0,5.6,25
2016-01-06,26.2,20.8,32.5,6.4,0.0,5.6,25
2016-01-07,20.3,13.1,26.8,6.4,0.0,5.6,25
2016-01-08,13.5,1.0,24.4,6.4,0.0,5.7,26
2016-01-09,11.5,-4.5,19.4,6.4,0.0,5.7,26
2016-01-10,3.6,-8.7,17.8,6.4,0.0,5.7,26
2016-01-11,3.6,-10.3,20.3,6.4,0.0,5.7,27
2016-01-12,10.0,-6.5,31.3,6.4,0.0,5.7,26
2016-01-13,22.1,3.9,40.5,6.4,0.1,5.7,26
2016-01-14,21.0,13.8,30.0,6.5,0.1,5.8,25
2016-01-15,15.1,10.9,21.9,6.6,0.0,5.8,26
2016-01-16,14.5,6.3,22.1,6.6,0.1,6.0,29
2016-01-17,19.8,13.3,25.3,6.7,0.0,6.0,28
2016-01-18,25.5,13.1,41.2,6.7,0.0,6.0,27
2016-01-19,19.4,5.2,30.2,6.7,0.0,6.1,27
2016-01-20,17.4,2.8,29.8,6.7,0.2,6.2,28
2016-01-21,12.6,1.0,23.5,6.9,0.0,6.3,30
2016-01-22,16.7,0.9,36.1,6.9,0.2,6.3,30
2016-01-23,23.5,10.2,44.2,7.1,0.0,6.4,29
2016-01-24,19.8,9.3,36.3,7.1,0.0,6.4,29
