Date,Trapper Lake (827) Air Temperature Average (degF),Trapper Lake (827) Air Temperature Minimum (degF),Trapper Lake (827) Air Temperature Maximum (degF),Trapper Lake (827) Precipitation Accumulation (in) Start of Day Values,Trapper Lake (827) Precipitation Increment (in),Trapper Lake (827) Snow Water Equivalent (in) Start of Day Values,Trapper Lake (827) Snow Depth (in) Start of Day Values
2015-10-01,56.8,45.0,67.5,0.0,0.0,0.0,0
2015-10-02,51.4,37.4,61.7,0.0,0.0,0.0,0
2015-10-03,44.8,37.9,55.0,0.0,0.0,0.0,0
2015-10-04,46.4,37.9,58.6,0.0,0.0,0.0,0
2015-10-05,45.0,39.4,55.0,0.0,0.2,0.0,0
2015-10-06,43.2,36.1,52.0,0.2,0.1,0.0,0
2015-10-07,43.2,33.8,56.1,0.3,0.0,0.0,0
2015-10-08,44.8,33.4,57.4,0.3,0.0,0.0,0
2015-10-09,46.2,35.2,58.3,0.3,0.0,0.0,0
2015-10-10,50.0,34.3,63.3,0.3,0.0,0.0,0
2015-10-11,50.2,36.1,59.4,0.3,0.0,0.0,0
2015-10-12,44.6,29.7,59.7,0.3,0.0,0.0,0
2015-10-13,47.1,32.7,60.6,0.3,0.0,0.0,0
2015-10-14,47.5,33.3,62.2,0.3,0.0,0.0,0
2015-10-15,46.8,32.5,62.2,0.3,0.0,0.0,0
2015-10-16,49.6,36.9,61.7,0.3,0.0,0.0,0
2015-10-17,47.3,37.0,59.7,0.3,0.0,0.0,0
2015-10-18,45.0,39.4,52.0,0.3,0.1,0.0,0
2015-10-19,42.6,32.7,48.6,0.4,0.0,0.0,0
2015-10-20,40.3,31.8,49.5,0.4,0.1,0.0,0
2015-10-21,40.1,34.0,48.2,0.5,0.0,0.0,0
2015-10-22,32.5,30.0,36.9,0.5,0.6,0.0,0
2015-10-23,32.4,23.9,43.7,1.1,0.2,0.6,4
2015-10-24,34.9,23.4,50.7,1.3,0.1,0.4,1
2015-10-25,40.6,32.2,50.4,1.4,0.1,0.2,1
2015-10-26,36.1,30.9,46.0,1.5,0.0,0.0,0
2015-10-27,28.4,16.7,37.4,1.5,0.1,0.0,0
2015-10-28,28.2,14.2,40.8,1.6,0.3,0.2,1
