Date,Trinchera (829) Air Temperature Average (degF),Trinchera (829) Air Temperature Minimum (degF),Trinchera (829) Air Temperature Maximum (degF),Trinchera (829) Precipitation Accumulation (in) Start of Day Values,Trinchera (829) Precipitation Increment (in),Trinchera (829) Snow Water Equivalent (in) Start of Day Values,Trinchera (829) Snow Depth (in) Start of Day Values
2015-10-01,51.3,40.8,64.2,0.0,0.0,0.0,0
2015-10-02,49.1,38.7,61.5,0.0,0.0,0.0,0
2015-10-03,42.6,34.0,56.1,0.0,0.0,0.0,0
2015-10-04,42.4,34.9,56.7,0.0,0.0,0.0,0
2015-10-05,42.6,35.6,54.9,0.0,0.0,0.0,0
2015-10-06,43.5,35.6,57.0,0.0,0.0,0.0,0
2015-10-07,39.9,34.3,47.1,0.0,0.0,0.0,0
2015-10-08,42.6,36.3,52.7,0.0,0.0,0.0,0
2015-10-09,45.0,33.4,57.2,0.0,0.2,0.0,0
2015-10-10,47.3,35.2,60.1,0.2,0.0,0.0,0
2015-10-11,48.2,39.4,59.7,0.2,0.0,0.0,0
2015-10-12,48.2,36.5,60.6,0.2,0.0,0.0,0
2015-10-13,48.4,37.0,60.8,0.2,0.0,0.0,0
2015-10-14,48.9,37.9,61.0,0.2,0.0,0.0,0
2015-10-15,45.0,35.1,56.1,0.2,0.0,0.0,0
2015-10-16,42.6,32.4,54.7,0.2,0.0,0.0,0
2015-10-17,42.6,32.4,54.1,0.2,0.0,0.0,0
2015-10-18,41.4,38.1,52.7,0.2,0.0,0.0,0
2015-10-19,39.4,32.9,47.5,0.2,0.0,0.0,0
2015-10-20,38.5,32.2,49.1,0.2,0.1,0.0,0
2015-10-21,33.4,29.8,37.9,0.3,0.1,0.0,0
2015-10-22,31.8,29.8,38.1,0.4,0.0,0.0,0
2015-10-23,32.9,28.8,39.0,0.4,0.0,0.0,0
2015-10-24,34.3,28.8,43.9,0.4,0.0,0.0,0
2015-10-25,36.3,28.0,47.5,0.4,0.0,0.0,0
2015-10-26,36.0,27.5,46.0,0.4,0.0,0.0,0
2015-10-27,32.0,21.6,45.5,0.4,0.0,0.0,0
2015-10-28,32.4,21.4,43.9,0.4,0.0,0.0,0
2015-10-29,33.4,29.5,44.4,0.4,0.1,0.0,0
2015-10-30,28.0,21.9,32.5,0.5,0.1,0.2,1
2015-10-31,30.2,19.6,40.8,0.6,0.1,0.4,1
2015-11-01,36.5,27.1,47.3,0.7,0.0,0.5,1
2015-11-02,40.8,31.5,52.0,0.7,0.0,0.5,1
2015-11-03,39.0,33.8,48.2,0.7,0.0,0.0,0
2015-11-04,28.8,16.9,40.6,0.7,0.6,0.0,0
2015-11-05,18.9,14.0,27.7,1.3,0.1,0.8,5
2015-11-06,19.6,10.8,28.8,1.4,0.0,1.1,4
2015-11-07,20.5,11.7,31.5,1.4,0.0,1.1,3
2015-11-08,23.4,13.5,35.6,1.4,0.0,1.1,3
2015-11-09,28.2,15.3,41.0,1.4,0.0,1.1,3
2015-11-10,28.8,13.6,40.1,1.4,0.0,1.1,3
2015-11-11,16.9,12.2,28.0,1.4,0.0,1.1,3
2015-11-12,25.0,12.4,35.6,1.4,0.0,1.1,3
2015-11-13,27.3,17.2,37.8,1.4,0.0,1.1,3
2015-11-14,30.6,21.2,43.2,1.4,0.0,1.1,3
2015-11-15,29.7,24.4,40.1,1.4,0.0,1.1,3
2015-11-16,23.5,16.2,29.5,1.4,0.5,1.2,3
2015-11-17,14.9,7.5,22.3,1.9,0.4,2.0,13
2015-11-18,18.3,9.9,27.5,2.3,0.0,2.4,14
2015-11-19,22.5,14.4,30.7,2.3,0.1,2.5,12
2015-11-20,26.2,12.9,36.0,2.4,0.0,2.5,11
2015-11-21,18.3,7.9,29.3,2.4,0.0,2.5,11
2015-11-22,26.2,15.3,35.6,2.4,0.0,2.5,10
2015-11-23,29.3,20.8,40.1,2.4,0.0,2.5,10
2015-11-24,28.8,21.9,36.3,2.4,0.0,2.5,10
