Date,University Camp (838) Air Temperature Average (degF),University Camp (838) Air Temperature Minimum (degF),University Camp (838) Air Temperature Maximum (degF),University Camp (838) Precipitation Accumulation (in) Start of Day Values,University Camp (838) Precipitation Increment (in),University Camp (838) Snow Water Equivalent (in) Start of Day Values,University Camp (838) Snow Depth (in) Start of Day Values
2015-10-01,46.4,38.5,63.5,0.0,0.0,0.0,0
2015-10-02,44.6,35.1,59.5,0.0,0.2,0.0,0
2015-10-03,39.7,30.9,53.1,0.2,0.5,0.0,0
2015-10-04,39.7,32.9,52.7,0.7,0.0,0.0,0
2015-10-05,42.6,32.2,56.8,0.7,0.0,0.0,0
2015-10-06,38.7,32.4,52.0,0.7,0.6,0.0,0
2015-10-07,39.0,31.3,52.9,1.3,0.1,0.0,0
2015-10-08,41.9,30.6,58.1,1.4,0.0,0.0,0
2015-10-09,44.8,32.4,55.2,1.4,0.0,0.0,0
2015-10-10,51.1,43.9,59.9,1.4,0.0,0.0,0
2015-10-11,50.0,44.2,58.5,1.4,0.0,0.0,0
2015-10-12,47.1,40.6,55.0,1.4,0.0,0.0,0
2015-10-13,49.6,43.5,57.7,1.4,0.0,0.0,0
2015-10-14,49.5,40.5,58.3,1.4,0.0,0.0,0
2015-10-15,42.1,29.5,51.6,1.4,0.0,0.0,0
2015-10-16,41.4,28.9,57.9,1.4,0.0,0.0,0
2015-10-17,43.0,31.1,58.3,1.4,0.0,0.0,0
2015-10-18,46.2,39.6,55.4,1.4,0.0,0.0,0
2015-10-19,39.7,30.6,51.4,1.4,0.0,0.0,0
2015-10-20,39.4,30.9,49.8,1.4,0.5,0.0,0
2015-10-21,33.3,29.7,36.0,1.9,0.4,0.5,1
2015-10-22,32.9,29.3,38.5,2.3,0.8,0.8,5
2015-10-23,32.7,28.8,38.7,3.1,0.1,1.5,12
2015-10-24,32.5,26.2,41.5,3.2,0.0,1.5,11
2015-10-25,36.7,29.7,47.1,3.2,0.0,1.5,11
2015-10-26,36.5,31.6,45.0,3.2,0.0,1.5,10
2015-10-27,29.8,24.4,38.8,3.2,0.3,1.5,8
2015-10-28,30.7,23.4,37.9,3.5,0.0,1.6,10
2015-10-29,34.7,29.3,44.2,3.5,0.0,1.7,10
2015-10-30,30.4,27.0,37.6,3.5,0.0,1.7,9
2015-10-31,33.1,26.8,38.1,3.5,0.1,1.7,9
2015-11-01,39.4,34.2,45.0,3.6,0.0,1.8,9
2015-11-02,41.4,30.0,52.5,3.6,0.0,1.8,8
2015-11-03,42.6,33.8,51.3,3.6,0.0,1.7,8
2015-11-04,32.9,23.7,41.2,3.6,0.3,1.6,8
2015-11-05,21.7,18.5,25.7,3.9,0.1,1.9,11
2015-11-06,19.4,16.0,23.4,4.0,0.2,2.0,12
2015-11-07,25.9,6.4,45.0,4.2,0.2,2.1,13
2015-11-08,32.9,20.5,51.4,4.4,0.0,2.2,12
2015-11-09,35.1,23.9,45.5,4.4,0.3,2.2,11
2015-11-10,33.1,22.8,44.1,4.7,0.0,2.2,11
2015-11-11,18.7,15.8,23.2,4.7,0.2,2.5,12
2015-11-12,22.5,16.3,28.4,4.9,0.1,2.6,15
2015-11-13,31.3,22.3,39.7,5.0,0.0,2.6,14
2015-11-14,34.7,23.2,47.7,5.0,0.0,2.6,13
2015-11-15,34.7,30.0,41.7,5.0,0.0,2.6,13
2015-11-16,28.2,21.2,36.7,5.0,0.1,2.7,13
2015-11-17,20.1,16.0,25.7,5.1,0.0,2.8,15
2015-11-18,20.7,17.8,24.4,5.1,0.4,2.9,16
2015-11-19,24.3,18.3,28.0,5.5,0.2,3.1,17
2015-11-20,20.3,5.4,28.0,5.7,0.5,3.4,17
2015-11-21,15.3,4.5,21.2,6.2,0.1,3.8,22
2015-11-22,28.4,20.8,35.8,6.3,0.0,4.0,21
2015-11-23,33.6,24.4,41.5,6.3,0.0,4.0,20
2015-11-24,32.5,22.1,37.8,6.3,0.0,4.0,19
2015-11-25,25.3,10.4,39.4,6.3,0.0,4.0,19
2015-11-26,7.0,-4.7,15.3,6.3,0.0,4.0,19
2015-11-27,10.2,-6.7,25.2,6.3,0.0,4.0,20
2015-11-28,15.6,4.3,26.8,6.3,0.1,4.0,20
2015-11-29,12.9,2.5,24.6,6.4,0.0,4.0,20
2015-11-30,6.6,4.8,9.9,6.4,0.1,4.1,21
2015-12-01,12.6,5.2,21.7,6.5,0.2,4.2,22
2015-12-02,25.2,19.6,28.2,6.7,0.1,4.3,21
2015-12-03,25.5,15.8,33.1,6.8,0.0,4.4,20
2015-12-04,35.2,24.6,43.0,6.8,0.0,4.4,20
2015-12-05,22.8,16.2,30.0,6.8,0.0,4.4,19
2015-12-06,32.2,17.1,41.7,6.8,0.0,4.4,19
2015-12-07,32.9,28.4,38.7,6.8,0.1,4.4,19
2015-12-08,30.0,27.1,32.9,6.9,0.0,4.4,19
2015-12-09,35.8,30.2,41.0,6.9,0.0,4.5,20
2015-12-10,34.0,26.8,39.0,6.9,0.0,4.5,19
2015-12-11,25.7,19.0,33.8,6.9,0.1,4.5,19
2015-12-12,18.9,10.4,25.5,7.0,0.2,4.7,22
2015-12-13,25.7,10.0,35.8,7.2,0.1,4.8,25
2015-12-14,25.3,16.5,37.6,7.3,0.0,4.9,23
2015-12-15,10.0,4.6,19.2,7.3,0.4,4.9,23
2015-12-16,6.8,4.3,12.4,7.7,0.1,5.3,28
2015-12-17,5.2,3.6,12.2,7.8,0.1,5.4,27
2015-12-18,22.1,11.8,30.4,7.9,0.2,5.6,27
2015-12-19,35.2,29.8,41.2,8.1,0.1,5.8,26
2015-12-20,25.3,18.3,33.3,8.2,0.0,5.8,25
2015-12-21,19.9,16.9,24.1,8.2,0.2,5.8,27
2015-12-22,22.8,15.3,26.2,8.4,0.6,6.0,30
2015-12-23,11.1,3.4,16.5,9.0,0.2,6.5,34
2015-12-24,4.8,0.5,10.6,9.2,0.1,6.8,36
2015-12-25,12.2,4.6,21.6,9.3,0.2,6.8,34
2015-12-26,0.0,-12.6,9.3,9.5,0.0,6.9,34
2015-12-27,7.5,-10.3,27.0,9.5,0.0,6.9,33
2015-12-28,16.0,1.0,26.4,9.5,0.0,6.9,32
