Date,Upper Rio Grande (839) Air Temperature Average (degF),Upper Rio Grande (839) Air Temperature Minimum (degF),Upper Rio Grande (839) Air Temperature Maximum (degF),Upper Rio Grande (839) Precipitation Accumulation (in) Start of Day Values,Upper Rio Grande (839) Precipitation Increment (in),Upper Rio Grande (839) Snow Water Equivalent (in) Start of Day Values,Upper Rio Grande (839) Snow Depth (in) Start of Day Values
2015-10-01,52.2,36.3,73.2,0.0,0.0,0.0,0
2015-10-02,47.7,34.0,62.8,0.0,0.0,0.0,0
2015-10-03,43.7,30.2,59.0,0.0,0.0,0.0,0
2015-10-04,41.2,30.2,56.8,0.0,0.2,0.0,0
2015-10-05,42.1,36.7,52.5,0.2,0.8,0.0,0
2015-10-06,41.7,32.2,56.1,1.0,0.0,0.0,0
2015-10-07,42.1,33.3,57.7,1.0,0.0,0.0,0
2015-10-08,45.3,30.7,64.2,1.0,0.0,0.0,0
2015-10-09,47.5,31.5,66.6,1.0,0.0,0.0,0
2015-10-10,49.5,33.8,70.2,1.0,0.0,0.0,0
2015-10-11,49.1,35.2,68.0,1.0,0.0,0.0,0
2015-10-12,48.0,31.5,72.7,1.0,0.0,0.0,0
2015-10-13,47.1,29.5,71.2,1.0,0.0,0.0,0
2015-10-14,47.1,29.8,71.8,1.0,0.0,0.0,0
2015-10-15,46.4,30.0,69.1,1.0,0.0,0.0,0
2015-10-16,43.2,28.0,62.2,1.0,0.0,0.0,0
2015-10-17,42.3,29.3,56.7,1.0,0.0,0.0,0
2015-10-18,44.6,39.2,56.5,1.0,0.4,0.0,0
2015-10-19,40.6,34.9,54.1,1.4,0.5,0.0,0
2015-10-20,39.4,33.4,53.4,1.9,0.2,0.0,0
2015-10-21,37.0,33.1,43.5,2.1,0.2,0.0,0
2015-10-22,37.2,33.1,45.7,2.3,0.0,0.0,0
2015-10-23,37.4,28.8,50.2,2.3,0.0,0.0,0
2015-10-24,37.2,24.6,54.9,2.3,0.0,0.0,0
2015-10-25,39.9,28.0,57.0,2.3,0.0,0.0,0
2015-10-26,37.2,25.0,51.6,2.3,0.0,0.0,0
2015-10-27,35.1,21.2,51.3,2.3,0.0,0.0,0
2015-10-28,34.7,18.3,54.7,2.3,0.2,0.0,0
2015-10-29,33.3,,45.5,2.5,0.0,0.1,1
2015-10-30,32.2,20.8,41.0,2.5,0.0,0.1,1
2015-10-31,32.0,19.0,50.2,2.5,0.0,0.0,0
2015-11-01,35.6,21.6,57.0,2.5,0.0,0.0,0
2015-11-02,36.1,21.2,55.0,2.5,0.0,0.0,0
2015-11-03,37.9,26.4,48.6,2.5,0.2,0.2,1
2015-11-04,28.0,11.8,35.6,2.7,0.4,0.3,1
2015-11-05,18.9,8.4,32.2,3.1,0.1,0.8,7
2015-11-06,20.1,6.8,36.5,3.2,0.0,0.8,6
2015-11-07,15.3,1.4,34.0,3.2,0.0,0.8,6
