Date,Upper San Juan (840) Air Temperature Average (degF),Upper San Juan (840) Air Temperature Minimum (degF),Upper San Juan (840) Air Temperature Maximum (degF),Upper San Juan (840) Precipitation Accumulation (in) Start of Day Values,Upper San Juan (840) Precipitation Increment (in),Upper San Juan (840) Snow Water Equivalent (in) Start of Day Values,Upper San Juan (840) Snow Depth (in) Start of Day Values
2015-10-01,50.2,36.5,67.6,0.0,0.0,0.0,0
2015-10-02,48.4,36.3,57.7,0.0,0.2,0.0,0
2015-10-03,42.8,28.2,56.1,0.2,0.0,0.0,0
2015-10-04,43.2,38.1,52.9,0.2,0.1,0.0,0
2015-10-05,42.6,39.2,52.9,0.3,0.2,0.0,0
2015-10-06,41.0,31.6,53.1,0.5,0.0,0.0,0
2015-10-07,41.2,32.4,51.6,0.5,0.0,0.0,0
2015-10-08,45.9,30.7,61.9,0.5,0.0,0.0,0
2015-10-09,44.4,28.8,61.2,0.5,0.0,0.0,0
2015-10-10,44.2,30.6,63.0,0.5,0.0,0.0,0
2015-10-11,43.7,30.2,61.7,0.5,0.0,0.0,0
2015-10-12,44.2,27.7,64.2,0.5,0.0,0.0,0
2015-10-13,44.4,27.9,65.8,0.5,0.0,0.0,0
2015-10-14,44.6,27.1,66.4,0.5,0.0,0.0,0
2015-10-15,45.5,29.1,65.1,0.5,0.0,0.0,0
2015-10-16,41.0,28.4,56.8,0.5,0.1,0.0,0
2015-10-17,40.1,27.1,54.0,0.6,0.4,0.0,0
2015-10-18,41.0,37.2,47.5,1.0,0.8,0.0,0
2015-10-19,39.6,33.3,46.8,1.8,0.9,0.0,0
2015-10-20,38.3,32.2,48.6,2.7,0.5,0.0,0
2015-10-21,34.3,30.2,42.3,3.2,0.5,0.6,3
2015-10-22,33.1,31.6,37.9,3.7,0.4,0.8,4
2015-10-23,35.2,25.9,49.5,4.1,0.0,1.3,6
2015-10-24,36.3,25.2,49.5,4.1,0.0,0.8,4
2015-10-25,34.7,23.5,50.0,4.1,0.2,0.3,2
2015-10-26,32.4,22.5,36.0,4.3,0.1,0.0,0
2015-10-27,30.7,18.3,45.9,4.4,0.0,0.2,1
2015-10-28,29.3,14.9,44.6,4.4,0.2,0.0,0
2015-10-29,31.8,22.3,41.9,4.6,0.3,0.0,0
2015-10-30,31.5,15.3,44.1,4.9,0.0,0.5,3
2015-10-31,33.4,16.3,52.2,4.9,0.1,0.4,2
2015-11-01,33.3,19.8,52.2,5.0,0.0,0.0,0
2015-11-02,34.2,19.8,51.6,5.0,0.1,0.0,0
2015-11-03,36.3,21.7,48.6,5.1,0.2,0.0,0
2015-11-04,26.4,19.4,34.7,5.3,1.5,0.1,0
2015-11-05,21.7,16.5,31.3,6.8,0.0,1.9,13
2015-11-06,18.9,3.7,32.9,6.8,0.0,2.0,13
2015-11-07,16.9,1.9,37.8,6.8,0.1,2.0,12
2015-11-08,18.3,3.7,40.3,6.9,0.0,2.0,11
2015-11-09,22.5,6.6,41.9,6.9,0.2,2.0,11
2015-11-10,24.4,11.3,39.0,7.1,0.2,2.0,11
2015-11-11,15.4,3.7,24.4,7.3,0.4,2.5,14
2015-11-12,17.2,1.2,38.8,7.7,0.0,2.8,17
2015-11-13,20.5,4.5,46.4,7.7,0.0,2.8,16
2015-11-14,21.9,4.6,47.5,7.7,0.1,2.8,15
2015-11-15,25.5,9.5,40.6,7.8,0.5,2.8,15
2015-11-16,22.6,16.3,30.0,8.3,1.5,3.4,17
2015-11-17,21.6,6.1,34.3,9.8,0.0,4.9,27
2015-11-18,18.0,3.7,36.3,9.8,0.0,4.9,26
2015-11-19,19.4,5.2,39.0,9.8,0.0,4.9,25
2015-11-20,21.9,6.3,39.6,9.8,0.0,4.9,24
2015-11-21,16.0,-0.4,39.0,9.8,0.0,4.9,22
2015-11-22,21.6,3.7,47.8,9.8,0.0,4.9,22
2015-11-23,21.6,6.6,45.3,9.8,0.0,4.9,22
2015-11-24,22.3,5.9,40.6,9.8,0.0,4.9,22
2015-11-25,27.5,10.2,37.8,9.8,0.4,4.9,20
2015-11-26,26.2,24.4,29.3,10.2,0.3,5.1,19
2015-11-27,25.3,21.6,31.6,10.5,0.4,5.6,26
2015-11-28,19.4,8.6,29.1,10.9,0.3,6.1,28
2015-11-29,18.0,11.8,21.7,11.2,0.1,6.2,27
2015-11-30,9.9,-2.6,17.1,11.3,0.2,6.5,31
2015-12-01,7.3,-10.7,28.8,11.5,0.0,6.7,30
2015-12-02,14.5,-0.2,39.9,11.5,0.1,6.7,30
2015-12-03,18.0,4.6,42.8,11.6,0.0,6.7,30
2015-12-04,21.9,7.7,42.4,11.6,0.0,6.7,29
2015-12-05,19.4,-0.6,36.9,11.6,0.0,6.8,28
2015-12-06,18.7,0.9,46.4,11.6,0.1,6.8,29
2015-12-07,20.5,5.5,45.0,11.7,0.1,6.8,29
2015-12-08,24.6,11.1,47.1,11.8,0.1,6.8,28
2015-12-09,25.3,13.1,47.5,11.9,0.0,6.8,28
2015-12-10,27.9,9.7,43.2,11.9,0.2,6.8,27
2015-12-11,28.8,25.0,31.5,12.1,0.1,7.0,27
2015-12-12,25.2,21.6,29.3,12.2,1.1,7.2,30
2015-12-13,20.7,4.6,44.1,13.3,0.0,8.5,39
2015-12-14,13.6,3.7,21.4,13.3,1.2,8.5,37
2015-12-15,6.6,-10.8,12.4,14.5,0.5,10.0,50
2015-12-16,4.3,-12.8,27.5,15.0,0.3,10.5,55
2015-12-17,2.1,-8.3,20.7,15.3,0.0,10.5,52
2015-12-18,13.6,-6.0,41.4,15.3,0.1,10.5,51
2015-12-19,22.3,6.4,40.8,15.4,0.3,10.5,47
2015-12-20,20.5,16.5,27.7,15.7,0.4,10.7,46
2015-12-21,17.6,16.0,21.9,16.1,0.6,11.5,52
2015-12-22,19.4,18.3,21.6,16.7,1.2,12.3,55
2015-12-23,13.5,-7.8,21.7,17.9,0.3,13.5,64
2015-12-24,4.5,-13.0,18.0,18.2,0.9,13.8,68
2015-12-25,13.6,1.2,20.1,19.1,1.7,14.8,72
2015-12-26,5.2,-12.8,12.9,20.8,0.0,16.6,74
2015-12-27,14.2,0.3,37.2,20.8,0.2,16.6,72
2015-12-28,9.5,-4.4,30.2,21.0,0.0,16.6,68
2015-12-29,9.5,-6.7,25.3,21.0,0.0,16.6,66
2015-12-30,9.5,-0.2,15.8,21.0,0.1,16.9,70
2015-12-31,6.1,-10.1,28.8,21.1,0.6,17.3,77
2016-01-01,3.9,-10.5,29.1,21.7,0.0,17.3,75
2016-01-02,12.0,-6.5,45.7,21.7,0.2,17.3,70
2016-01-03,18.0,4.1,43.7,21.9,0.0,17.4,68
2016-01-04,17.8,3.0,37.4,21.9,0.0,17.5,66
2016-01-05,20.8,15.6,28.8,21.9,0.3,17.6,61
2016-01-06,21.4,16.5,29.7,22.2,0.3,17.9,66
2016-01-07,17.1,10.0,22.1,22.5,0.2,18.3,67
2016-01-08,14.0,5.0,19.6,22.7,0.2,18.6,67
2016-01-09,9.9,-7.8,33.1,22.9,0.2,18.8,71
2016-01-10,4.5,-12.5,25.2,23.1,0.0,18.8,68
2016-01-11,9.0,-8.0,35.8,23.1,0.0,18.8,68
2016-01-12,14.5,-2.6,43.2,23.1,0.0,18.8,67
2016-01-13,15.4,-0.8,45.0,23.1,0.0,18.8,66
2016-01-14,11.8,-5.1,27.0,23.1,0.1,18.8,65
2016-01-15,9.9,-5.1,18.3,23.2,0.0,18.8,62
2016-01-16,5.7,-8.9,23.2,23.2,0.0,18.8,63
2016-01-17,11.8,-4.5,33.8,23.2,0.0,18.8,63
2016-01-18,17.6,0.3,32.4,23.2,0.1,18.8,62
2016-01-19,20.5,6.1,34.0,23.3,0.1,19.0,61
2016-01-20,17.1,2.3,26.8,23.4,0.1,19.1,60
2016-01-21,13.6,-1.7,34.5,23.5,0.3,19.4,63
2016-01-22,21.7,8.6,44.2,23.8,0.0,19.5,63
2016-01-23,19.9,4.6,41.9,23.8,0.0,19.5,63
2016-01-24,17.4,9.0,23.7,23.8,0.2,19.5,62
2016-01-25,8.4,-6.7,29.3,24.0,0.0,19.9,66
2016-01-26,8.1,-11.0,28.2,24.0,0.2,19.9,65
2016-01-27,23.0,3.2,48.2,24.2,0.2,20.0,65
2016-01-28,22.6,7.9,49.5,24.4,0.0,20.0,64
2016-01-29,19.4,4.6,41.9,24.4,0.0,20.0,63
2016-01-30,25.3,10.9,36.5,24.4,0.3,20.0,62
2016-01-31,25.0,24.6,26.2,24.7,2.5,20.5,63
2016-02-01,15.1,8.2,24.8,27.2,1.3,23.2,76
2016-02-02,8.4,-2.0,22.6,28.5,0.1,24.7,87
2016-02-03,-5.1,-19.7,18.7,28.6,0.0,24.8,86
2016-02-04,-1.8,-19.8,25.7,28.6,0.0,24.8,84
2016-02-05,7.9,-6.7,29.8,28.6,0.0,24.8,82
