Date,Vail Mountain (842) Air Temperature Average (degF),Vail Mountain (842) Air Temperature Minimum (degF),Vail Mountain (842) Air Temperature Maximum (degF),Vail Mountain (842) Precipitation Accumulation (in) Start of Day Values,Vail Mountain (842) Precipitation Increment (in),Vail Mountain (842) Snow Water Equivalent (in) Start of Day Values,Vail Mountain (842) Snow Depth (in) Start of Day Values
2015-10-01,55.0,46.2,65.8,0.0,0.0,0.0,0
2015-10-02,49.1,33.3,60.6,0.0,0.0,0.0,0
2015-10-03,43.7,34.9,51.3,0.0,0.1,0.0,0
2015-10-04,45.3,37.2,55.9,0.1,0.0,0.0,0
2015-10-05,43.0,38.3,52.9,0.1,0.1,0.0,0
2015-10-06,40.8,34.2,51.1,0.2,0.2,0.0,0
2015-10-07,42.6,34.3,53.2,0.4,0.0,0.0,0
2015-10-08,45.9,37.4,55.8,0.4,0.0,0.0,0
2015-10-09,46.8,38.5,57.6,0.4,0.0,0.0,0
2015-10-10,49.6,40.8,61.2,0.4,0.0,0.0,0
2015-10-11,48.9,41.7,57.7,0.4,0.0,0.0,0
2015-10-12,46.2,36.1,57.2,0.4,0.0,0.0,0
2015-10-13,48.2,39.2,58.5,0.4,0.0,0.0,0
2015-10-14,49.5,41.9,59.4,0.4,0.0,0.0,0
2015-10-15,48.0,38.1,58.8,0.4,0.0,0.0,0
2015-10-16,47.5,36.3,58.8,0.4,0.0,0.0,0
2015-10-17,47.7,41.4,58.5,0.4,0.0,0.0,0
2015-10-18,43.9,39.6,49.3,0.4,0.1,0.0,0
2015-10-19,39.9,32.7,44.1,0.5,0.1,0.0,0
2015-10-20,39.0,32.4,47.3,0.6,0.0,0.0,0
2015-10-21,37.8,31.5,42.1,0.6,0.0,0.0,0
2015-10-22,31.3,29.1,36.9,0.6,0.9,0.0,0
2015-10-23,30.6,27.1,37.9,1.5,0.2,0.6,4
2015-10-24,33.4,25.7,46.0,1.7,0.0,0.6,4
2015-10-25,38.3,29.3,48.4,1.7,0.1,0.6,4
2015-10-26,32.5,27.5,39.9,1.8,0.1,0.6,3
2015-10-27,26.2,18.3,34.3,1.9,0.1,0.6,3
2015-10-28,28.8,18.3,38.1,2.0,0.0,0.6,3
2015-10-29,34.3,28.8,43.2,2.0,0.1,0.8,4
2015-10-30,25.9,21.6,30.0,2.1,0.0,0.8,4
2015-10-31,30.7,24.4,40.1,2.1,0.1,0.8,4
2015-11-01,36.7,29.5,45.5,2.2,0.0,0.8,4
2015-11-02,42.4,35.1,53.6,2.2,0.0,0.8,4
2015-11-03,39.9,33.8,47.7,2.2,0.0,0.8,3
2015-11-04,27.3,21.0,34.7,2.2,0.7,0.8,3
2015-11-05,18.7,15.6,23.2,2.9,0.3,1.3,10
2015-11-06,16.5,11.8,23.0,3.2,0.3,1.5,11
2015-11-07,22.6,8.6,39.0,3.5,0.0,1.9,13
2015-11-08,28.4,22.5,42.3,3.5,0.0,1.9,11
2015-11-09,30.6,20.1,42.4,3.5,0.0,1.9,11
2015-11-10,30.6,19.0,41.4,3.5,0.3,2.0,10
2015-11-11,14.5,10.6,19.0,3.8,0.2,2.4,12
2015-11-12,18.0,10.8,28.0,4.0,0.0,2.6,15
2015-11-13,26.2,16.7,37.9,4.0,0.1,2.6,14
2015-11-14,32.9,26.2,49.8,4.1,0.0,2.6,13
2015-11-15,31.6,26.2,40.1,4.1,0.0,2.6,12
2015-11-16,23.2,17.8,30.7,4.1,0.4,2.6,12
2015-11-17,14.4,11.5,17.8,4.5,0.1,3.1,17
2015-11-18,18.7,15.3,21.0,4.6,0.2,3.4,17
2015-11-19,23.2,17.6,28.4,4.8,0.0,3.6,19
2015-11-20,19.0,2.3,27.9,4.8,0.0,3.8,19
2015-11-21,13.1,1.2,23.5,4.8,0.0,4.0,20
2015-11-22,26.4,16.2,38.1,4.8,0.1,4.0,19
2015-11-23,32.0,26.2,39.9,4.9,0.0,4.0,19
2015-11-24,29.8,25.7,36.3,4.9,0.0,4.0,18
2015-11-25,33.1,27.3,41.9,4.9,0.1,4.0,18
2015-11-26,21.7,14.9,27.9,5.0,0.0,4.0,17
2015-11-27,18.9,9.9,26.2,5.0,0.0,4.0,18
2015-11-28,16.7,13.5,22.6,5.0,0.1,4.1,18
2015-11-29,13.3,8.1,19.9,5.1,0.3,4.2,19
2015-11-30,4.5,1.9,8.4,5.4,0.0,4.4,23
2015-12-01,8.4,2.5,15.6,5.4,0.1,4.4,23
2015-12-02,18.9,8.6,31.6,5.5,0.0,4.4,22
2015-12-03,23.7,19.8,30.2,5.5,0.0,4.5,21
2015-12-04,31.3,24.8,42.3,5.5,0.0,4.5,21
2015-12-05,17.8,10.4,25.9,5.5,0.1,4.5,20
2015-12-06,27.0,10.6,41.7,5.6,0.1,4.5,22
2015-12-07,29.5,22.5,36.9,5.7,0.1,4.6,21
2015-12-08,27.5,23.0,35.2,5.8,0.0,4.7,21
2015-12-09,32.0,23.5,40.3,5.8,0.0,4.7,21
2015-12-10,31.6,23.9,39.2,5.8,0.0,4.7,20
2015-12-11,27.5,21.4,32.7,5.8,0.0,4.8,20
2015-12-12,18.9,12.0,25.5,5.8,0.3,4.9,21
2015-12-13,17.2,6.4,27.5,6.1,0.0,5.3,19
2015-12-14,22.1,11.3,29.7,6.1,0.2,5.3,22
2015-12-15,7.7,2.1,12.9,6.3,0.2,5.6,24
2015-12-16,4.6,0.7,13.6,6.5,0.1,5.8,28
2015-12-17,3.0,-0.6,8.6,6.6,0.1,5.8,28
2015-12-18,18.7,7.9,25.9,6.7,0.1,5.9,28
2015-12-19,29.1,21.9,39.4,6.8,0.0,6.0,26
2015-12-20,20.7,15.4,29.3,6.8,0.1,6.0,26
2015-12-21,16.9,13.8,19.9,6.9,0.2,6.2,28
2015-12-22,20.3,13.5,27.7,7.1,0.3,6.4,27
2015-12-23,9.5,1.0,17.6,7.4,0.2,6.7,31
2015-12-24,4.6,-0.6,9.9,7.6,0.1,7.0,34
2015-12-25,10.9,3.9,19.6,7.7,0.2,7.2,33
2015-12-26,2.3,-3.3,12.7,7.9,0.0,7.5,34
2015-12-27,15.1,1.8,32.2,7.9,0.0,7.5,35
2015-12-28,15.3,8.8,23.4,7.9,0.0,7.6,33
2015-12-29,10.6,6.6,17.8,7.9,0.1,7.6,32
2015-12-30,4.6,0.3,10.6,8.0,0.0,7.6,33
2015-12-31,3.7,-1.3,16.7,8.0,0.0,7.6,34
2016-01-01,12.2,1.2,29.8,8.0,0.1,7.6,33
2016-01-02,21.6,12.0,37.4,8.1,0.1,7.6,32
2016-01-03,26.6,21.4,37.2,8.2,0.0,7.6,32
2016-01-04,28.8,21.9,42.3,8.2,0.0,7.6,32
2016-01-05,22.5,17.8,28.2,8.2,0.0,7.6,31
2016-01-06,22.3,19.0,30.4,8.2,0.1,7.6,31
2016-01-07,18.3,13.8,21.4,8.3,0.2,7.6,30
2016-01-08,14.7,11.1,23.9,8.5,0.0,7.6,33
2016-01-09,10.6,5.7,17.8,8.5,0.0,7.6,32
2016-01-10,7.2,1.2,15.3,8.5,0.0,7.6,34
2016-01-11,10.0,1.9,19.4,8.5,0.0,7.6,35
2016-01-12,18.0,11.3,28.2,8.5,0.1,7.6,34
2016-01-13,23.0,14.9,36.3,8.6,0.0,7.7,34
2016-01-14,13.5,10.4,18.3,8.6,0.1,7.8,33
2016-01-15,11.3,7.7,16.2,8.7,0.1,7.9,33
2016-01-16,9.5,3.2,14.2,8.8,0.4,8.1,35
2016-01-17,15.3,12.4,18.9,9.2,0.2,8.4,42
2016-01-18,21.2,15.6,32.5,9.4,0.1,8.7,42
2016-01-19,19.2,15.4,26.8,9.5,0.1,8.7,40
2016-01-20,13.6,5.5,20.5,9.6,0.2,8.7,40
2016-01-21,12.0,7.9,20.5,9.8,0.0,8.8,42
2016-01-22,25.5,13.1,38.5,9.8,0.1,8.8,41
2016-01-23,29.5,23.9,40.1,9.9,0.0,8.8,39
2016-01-24,19.2,11.3,28.8,9.9,0.0,8.8,39
2016-01-25,10.2,4.6,19.9,9.9,0.1,8.8,38
2016-01-26,9.5,2.1,19.8,10.0,0.0,9.0,40
2016-01-27,21.4,9.0,33.3,10.0,0.1,9.0,40
2016-01-28,25.5,17.8,37.4,10.1,0.0,9.1,38
2016-01-29,24.1,18.7,29.5,10.1,0.1,9.3,38
2016-01-30,26.6,14.4,34.7,10.2,0.6,9.5,38
2016-01-31,14.5,8.8,19.9,10.8,0.4,10.1,43
2016-02-01,15.4,3.2,24.4,11.2,0.5,10.5,45
2016-02-02,3.6,-1.5,10.6,11.7,0.1,11.0,52
2016-02-03,-1.8,-7.2,5.5,11.8,0.0,11.2,51
