Date,Vallecito (843) Air Temperature Average (degF),Vallecito (843) Air Temperature Minimum (degF),Vallecito (843) Air Temperature Maximum (degF),Vallecito (843) Precipitation Accumulation (in) Start of Day Values,Vallecito (843) Precipitation Increment (in),Vallecito (843) Snow Water Equivalent (in) Start of Day Values,Vallecito (843) Snow Depth (in) Start of Day Values
2015-10-01,54.7,47.3,63.5,0.0,0.0,0.0,0
2015-10-02,48.2,41.4,55.0,0.0,0.0,0.0,0
2015-10-03,43.2,37.4,52.2,0.0,0.0,0.0,0
2015-10-04,40.8,36.3,52.5,0.0,0.0,0.0,0
2015-10-05,38.7,32.5,45.0,0.0,1.1,0.0,0
2015-10-06,40.1,34.2,47.8,1.1,0.2,0.0,0
2015-10-07,40.3,34.5,47.5,1.3,0.0,0.0,0
2015-10-08,47.7,39.6,57.7,1.3,0.1,0.0,0
2015-10-09,46.6,39.4,55.4,1.4,0.0,0.0,0
2015-10-10,47.7,39.4,59.9,1.4,0.0,0.0,0
2015-10-11,48.9,39.4,61.3,1.4,0.0,0.0,0
2015-10-12,50.9,41.9,59.9,1.4,0.0,0.0,0
2015-10-13,52.5,45.5,60.6,1.4,0.0,0.0,0
2015-10-14,51.8,44.6,62.1,1.4,0.0,0.0,0
2015-10-15,51.6,44.1,61.5,1.4,0.0,0.0,0
2015-10-16,44.8,36.9,52.2,1.4,0.0,0.0,0
2015-10-17,40.1,36.5,49.1,1.4,0.1,0.0,0
2015-10-18,39.4,35.6,47.3,1.5,0.7,0.0,0
2015-10-19,38.5,34.5,45.7,2.2,0.6,0.0,0
2015-10-20,36.5,30.4,45.7,2.8,0.5,0.0,0
2015-10-21,34.3,30.7,38.1,3.3,0.1,0.3,1
2015-10-22,31.5,28.8,40.3,3.4,0.4,0.3,1
2015-10-23,33.1,27.1,43.0,3.8,0.0,0.4,2
2015-10-24,36.1,28.8,46.0,3.8,0.0,0.4,1
2015-10-25,36.7,30.7,44.2,3.8,0.0,0.1,1
2015-10-26,33.4,28.8,41.2,3.8,0.0,0.1,1
2015-10-27,34.3,26.8,46.4,3.8,0.0,0.1,1
2015-10-28,34.7,27.3,45.0,3.8,0.0,0.1,1
2015-10-29,31.8,28.4,39.4,3.8,0.2,0.1,1
