Date,Whiskey Ck (857) Air Temperature Average (degF),Whiskey Ck (857) Air Temperature Minimum (degF),Whiskey Ck (857) Air Temperature Maximum (degF),Whiskey Ck (857) Precipitation Accumulation (in) Start of Day Values,Whiskey Ck (857) Precipitation Increment (in),Whiskey Ck (857) Snow Water Equivalent (in) Start of Day Values,Whiskey Ck (857) Snow Depth (in) Start of Day Values
2015-10-01,50.2,37.9,67.6,0.0,0.2,0.0,0
2015-10-02,48.4,39.0,63.0,0.2,0.0,0.0,0
2015-10-03,41.9,32.5,57.0,0.2,0.3,0.0,0
2015-10-04,41.2,32.4,55.4,0.5,0.1,0.0,0
2015-10-05,43.0,32.4,57.9,0.6,0.0,0.0,0
2015-10-06,43.9,34.9,58.6,0.6,0.0,0.0,0
2015-10-07,38.5,32.7,45.7,0.6,0.5,0.0,0
2015-10-08,38.1,31.5,47.5,1.1,0.1,0.0,0
2015-10-09,44.6,31.3,60.4,1.2,0.2,0.0,0
2015-10-10,49.1,39.0,64.8,1.4,0.0,0.0,0
2015-10-11,52.2,38.7,64.2,1.4,0.0,0.0,0
2015-10-12,48.0,32.0,64.8,1.4,0.0,0.0,0
2015-10-13,49.3,35.6,65.7,1.4,0.0,0.0,0
2015-10-14,45.9,31.6,67.3,1.4,0.0,0.0,0
2015-10-15,43.2,32.7,61.2,1.4,0.0,0.0,0
2015-10-16,43.7,28.4,57.2,1.4,0.0,0.0,0
2015-10-17,44.6,31.5,60.6,1.4,0.0,0.0,0
2015-10-18,45.9,41.9,54.7,1.4,0.0,0.0,0
2015-10-19,43.2,34.9,49.3,1.4,0.0,0.0,0
2015-10-20,40.3,33.8,52.2,1.4,0.0,0.0,0
2015-10-21,33.4,32.2,42.6,1.4,0.8,0.0,0
2015-10-22,34.0,32.4,42.4,2.2,0.6,0.8,4
2015-10-23,33.8,30.7,38.7,2.8,0.6,1.0,5
2015-10-24,34.2,28.8,45.0,3.4,0.0,1.5,5
2015-10-25,36.1,27.1,52.5,3.4,0.0,1.3,4
2015-10-26,38.1,30.9,47.1,3.4,0.0,1.1,3
2015-10-27,36.3,28.0,48.6,3.4,0.0,1.0,3
2015-10-28,38.1,27.9,47.3,3.4,0.1,0.8,2
2015-10-29,35.1,28.8,43.5,3.5,0.0,0.8,2
2015-10-30,30.0,25.2,33.8,3.5,0.2,0.8,2
2015-10-31,36.9,25.9,48.9,3.7,0.0,0.8,2
2015-11-01,42.8,36.3,54.7,3.7,0.0,0.8,2
2015-11-02,43.5,30.6,55.0,3.7,0.0,0.6,1
2015-11-03,42.3,32.9,51.3,3.7,0.0,0.4,1
2015-11-04,32.7,20.7,45.3,3.7,0.2,0.2,1
2015-11-05,22.6,19.9,28.8,3.9,0.1,0.2,1
2015-11-06,24.3,16.9,35.2,4.0,0.0,0.2,1
2015-11-07,23.0,10.9,40.3,4.0,0.0,0.2,1
2015-11-08,28.8,12.9,50.9,4.0,0.0,0.2,1
2015-11-09,35.8,22.3,45.5,4.0,0.0,0.2,1
2015-11-10,32.9,17.1,44.4,4.0,0.1,0.2,1
2015-11-11,21.6,15.3,30.2,4.1,0.1,0.2,1
2015-11-12,31.3,24.1,42.3,4.2,0.0,0.2,1
2015-11-13,31.6,19.8,47.5,4.2,0.0,0.2,1
2015-11-14,34.7,19.6,49.3,4.2,0.1,0.2,1
2015-11-15,34.0,30.0,41.4,4.3,0.0,0.2,1
2015-11-16,27.1,19.4,34.3,4.3,0.5,0.2,1
2015-11-17,19.0,15.4,25.7,4.8,0.5,0.7,7
2015-11-18,23.9,16.7,34.3,5.3,0.1,1.2,10
2015-11-19,29.1,19.8,37.9,5.4,0.1,1.2,8
2015-11-20,30.6,19.9,41.4,5.5,0.0,1.2,7
2015-11-21,25.0,16.9,35.8,5.5,0.0,1.2,6
2015-11-22,32.2,24.3,46.4,5.5,0.0,1.2,6
2015-11-23,34.0,23.4,43.9,5.5,0.0,1.2,5
2015-11-24,32.9,29.5,39.9,5.5,0.0,1.2,4
2015-11-25,35.2,29.5,42.4,5.5,0.0,1.2,4
2015-11-26,25.9,9.5,37.4,5.5,0.3,1.3,4
2015-11-27,13.5,3.7,25.5,5.8,0.2,1.4,7
2015-11-28,26.2,18.3,33.4,6.0,0.0,1.6,9
2015-11-29,24.3,13.6,33.3,6.0,0.2,1.7,8
2015-11-30,11.1,7.2,16.2,6.2,0.1,1.9,13
2015-12-01,14.5,6.8,23.5,6.3,0.1,1.9,12
2015-12-02,24.6,9.5,35.8,6.4,0.0,1.9,10
2015-12-03,29.3,17.8,40.5,6.4,0.0,2.0,10
2015-12-04,34.7,28.0,44.6,6.4,0.0,2.0,10
2015-12-05,26.2,11.5,32.9,6.4,0.0,2.0,9
2015-12-06,32.4,10.9,45.7,6.4,0.0,2.0,9
2015-12-07,37.4,30.9,45.9,6.4,0.0,2.0,9
2015-12-08,36.5,30.9,43.5,6.4,0.0,2.0,8
2015-12-09,38.7,32.4,48.9,6.4,0.0,2.0,8
2015-12-10,37.0,27.9,47.7,6.4,0.0,2.0,8
2015-12-11,32.5,26.8,38.8,6.4,0.0,2.0,8
2015-12-12,24.1,16.5,34.0,6.4,0.3,2.0,7
2015-12-13,24.6,18.0,34.0,6.7,0.1,2.4,14
2015-12-14,25.2,9.3,33.1,6.8,0.2,2.5,13
2015-12-15,8.2,5.7,11.7,7.0,0.2,2.6,15
2015-12-16,9.3,5.0,17.8,7.2,0.1,2.7,15
2015-12-17,10.2,5.0,19.9,7.3,0.0,2.7,14
2015-12-18,30.0,19.0,40.5,7.3,0.1,2.7,14
2015-12-19,35.1,30.6,42.3,7.4,0.0,2.9,13
2015-12-20,22.5,16.3,32.0,7.4,0.2,3.0,13
2015-12-21,19.4,16.0,25.2,7.6,0.1,3.2,14
2015-12-22,21.9,19.8,26.4,7.7,0.1,3.2,16
2015-12-23,17.4,8.6,21.2,7.8,0.2,3.4,18
2015-12-24,14.0,4.5,21.6,8.0,0.1,3.5,19
2015-12-25,16.9,6.4,24.3,8.1,0.5,3.7,19
2015-12-26,3.9,-3.1,9.1,8.6,0.1,4.2,24
2015-12-27,10.2,2.7,17.6,8.7,0.2,4.3,24
2015-12-28,19.6,12.9,30.4,8.9,0.0,4.4,22
2015-12-29,13.5,2.5,20.7,8.9,0.0,4.5,21
2015-12-30,10.9,7.7,16.3,8.9,0.1,4.5,22
2015-12-31,8.2,-5.1,20.3,9.0,0.0,4.5,20
2016-01-01,10.9,-6.2,26.8,9.0,0.0,4.5,21
2016-01-02,13.5,0.0,36.3,9.0,0.1,4.5,20
2016-01-03,17.6,7.7,36.3,9.1,0.0,4.5,20
2016-01-04,24.8,9.9,36.7,9.1,0.0,4.5,20
2016-01-05,24.1,20.3,27.5,9.1,0.0,4.6,19
2016-01-06,22.1,11.7,33.4,9.1,0.0,4.6,19
2016-01-07,17.8,7.7,23.7,9.1,0.1,4.7,20
2016-01-08,11.3,2.3,18.3,9.2,0.3,4.7,20
2016-01-09,11.7,1.2,21.4,9.5,0.1,5.1,29
2016-01-10,7.9,-6.3,22.1,9.6,0.0,5.2,27
2016-01-11,13.3,-6.2,29.1,9.6,0.2,5.2,26
2016-01-12,25.9,11.1,38.5,9.8,0.0,5.3,25
2016-01-13,30.9,24.8,41.4,9.8,0.0,5.3,24
2016-01-14,21.4,13.6,28.2,9.8,0.0,5.3,23
2016-01-15,16.3,12.0,23.0,9.8,0.0,5.3,23
2016-01-16,15.4,10.6,21.9,9.8,0.0,5.3,22
2016-01-17,20.5,17.2,27.5,9.8,0.0,5.3,23
2016-01-18,27.3,19.2,36.9,9.8,0.0,5.3,23
2016-01-19,24.1,20.7,34.2,9.8,0.0,5.3,22
2016-01-20,19.9,11.3,29.7,9.8,0.1,5.3,22
2016-01-21,17.2,8.4,30.0,9.9,0.1,5.4,22
2016-01-22,32.7,23.4,43.2,10.0,0.0,5.4,23
2016-01-23,34.3,28.4,46.0,10.0,0.0,5.4,22
2016-01-24,23.5,15.6,30.6,10.0,0.0,5.4,21
2016-01-25,14.0,9.1,25.0,10.0,0.2,5.5,24
