Date,Wolf Creek Summit (874) Air Temperature Average (degF),Wolf Creek Summit (874) Air Temperature Minimum (degF),Wolf Creek Summit (874) Air Temperature Maximum (degF),Wolf Creek Summit (874) Precipitation Accumulation (in) Start of Day Values,Wolf Creek Summit (874) Precipitation Increment (in),Wolf Creek Summit (874) Snow Water Equivalent (in) Start of Day Values,Wolf Creek Summit (874) Snow Depth (in) Start of Day Values
2015-10-01,53.2,45.7,62.1,0.0,0.0,0.0,0
2015-10-02,48.0,41.7,55.6,0.0,0.0,0.0,0
2015-10-03,42.6,35.8,50.7,0.0,0.0,0.0,0
2015-10-04,41.0,36.9,49.1,0.0,0.0,0.0,0
2015-10-05,40.3,36.1,47.1,0.0,0.0,0.0,0
2015-10-06,40.1,34.7,49.6,0.0,0.0,0.0,0
2015-10-07,38.8,34.5,47.3,0.0,0.0,0.0,0
2015-10-08,44.4,36.5,55.9,0.0,0.0,0.0,0
2015-10-09,44.8,36.0,57.6,0.0,0.0,0.0,0
2015-10-10,46.2,37.9,60.6,0.0,0.0,0.0,0
2015-10-11,46.6,38.3,57.4,0.0,0.0,0.0,0
2015-10-12,48.4,38.7,60.1,0.0,0.0,0.0,0
2015-10-13,50.4,41.9,62.6,0.0,0.0,0.0,0
2015-10-14,50.0,41.2,62.1,0.0,0.0,0.0,0
2015-10-15,49.1,35.8,61.9,0.0,0.0,0.0,0
2015-10-16,42.3,33.4,51.6,0.0,0.0,0.0,0
2015-10-17,40.1,34.3,51.4,0.0,0.1,0.0,0
2015-10-18,39.2,36.7,43.5,0.1,0.3,0.0,0
2015-10-19,37.2,33.8,40.8,0.4,0.7,0.0,0
2015-10-20,36.1,30.0,42.6,1.1,0.5,0.0,0
2015-10-21,32.0,29.8,36.1,1.6,0.5,0.7,3
2015-10-22,31.3,29.7,36.5,2.1,0.5,1.0,4
2015-10-23,32.5,27.3,43.0,2.6,0.0,1.4,7
2015-10-24,34.9,27.3,46.2,2.6,0.0,1.4,7
2015-10-25,35.6,29.1,46.4,2.6,0.0,1.4,6
2015-10-26,32.0,25.5,35.8,2.6,0.0,1.4,6
2015-10-27,30.4,22.3,39.9,2.6,0.0,1.4,6
2015-10-28,32.9,,,2.6,0.2,1.4,6
2015-10-29,30.9,27.3,39.0,2.8,0.1,1.4,6
2015-10-30,29.7,21.6,37.9,2.9,0.1,1.9,8
2015-10-31,34.7,23.9,47.1,3.0,0.2,1.9,8
2015-11-01,37.9,31.3,51.4,3.2,0.0,1.9,8
