Date,Columbus Basin (904) Air Temperature Average (degF),Columbus Basin (904) Air Temperature Minimum (degF),Columbus Basin (904) Air Temperature Maximum (degF),Columbus Basin (904) Precipitation Accumulation (in) Start of Day Values,Columbus Basin (904) Precipitation Increment (in),Columbus Basin (904) Snow Water Equivalent (in) Start of Day Values,Columbus Basin (904) Snow Depth (in) Start of Day Values
2015-10-01,51.3,42.8,61.5,0.0,0.0,0.0,0
2015-10-02,47.5,35.6,55.0,0.0,0.0,0.0,0
2015-10-03,39.2,30.9,49.3,0.0,0.0,0.0,0
2015-10-04,39.9,36.0,47.8,0.0,0.4,0.0,0
2015-10-05,36.9,32.2,42.6,0.4,2.2,0.0,0
2015-10-06,34.3,31.6,39.9,2.6,0.0,0.0,0
2015-10-07,35.2,32.2,40.6,2.6,0.4,0.0,0
2015-10-08,41.2,31.8,55.4,3.0,0.0,0.0,0
2015-10-09,42.1,34.5,53.4,3.0,0.0,0.0,0
2015-10-10,43.9,35.8,57.0,3.0,0.0,0.0,0
2015-10-11,45.9,36.5,54.7,3.0,0.0,0.0,0
2015-10-12,47.3,37.2,61.0,3.0,0.0,0.0,0
2015-10-13,47.8,37.8,60.6,3.0,0.0,0.0,0
2015-10-14,45.9,36.3,60.4,3.0,0.0,0.0,0
2015-10-15,45.7,37.8,58.8,3.0,0.0,0.0,0
2015-10-16,41.9,36.7,50.9,3.0,0.0,0.0,0
2015-10-17,39.0,35.8,44.1,3.0,0.3,0.0,0
2015-10-18,38.3,33.3,44.1,3.3,0.9,0.0,0
2015-10-19,37.9,34.5,44.6,4.2,0.4,0.0,0
2015-10-20,34.5,29.3,41.2,4.6,0.7,0.0,0
2015-10-21,32.5,30.7,35.8,5.3,0.2,0.4,2
2015-10-22,31.6,29.7,35.1,5.5,0.3,0.5,2
2015-10-23,31.8,26.4,39.4,5.8,0.0,0.7,3
2015-10-24,31.6,25.2,41.9,5.8,0.0,0.6,3
2015-10-25,34.0,26.8,44.8,5.8,0.0,0.6,3
2015-10-26,32.2,26.2,37.0,5.8,0.0,0.6,3
2015-10-27,32.9,27.1,40.6,5.8,0.1,0.6,3
2015-10-28,35.8,25.9,44.1,5.9,0.0,0.6,3
2015-10-29,30.7,28.0,38.3,5.9,0.2,0.6,3
2015-10-30,29.3,22.3,40.5,6.1,0.0,0.8,4
2015-10-31,34.3,23.5,45.9,6.1,0.0,0.8,4
2015-11-01,36.9,28.4,48.6,6.1,0.1,0.8,5
2015-11-02,36.5,29.3,48.0,6.2,0.0,0.9,4
2015-11-03,33.8,26.6,41.2,6.2,0.0,0.9,4
2015-11-04,21.9,13.8,29.5,6.2,0.8,0.9,4
2015-11-05,15.4,9.3,24.1,7.0,0.1,1.6,12
2015-11-06,16.0,10.4,25.2,7.1,0.0,1.6,11
2015-11-07,17.8,8.2,32.9,7.1,0.1,1.6,10
2015-11-08,20.5,12.0,36.3,7.2,0.0,1.6,10
2015-11-09,25.2,16.2,37.8,7.2,0.1,1.7,10
2015-11-10,21.6,13.8,30.6,7.3,0.5,1.8,10
2015-11-11,15.4,11.5,23.2,7.8,0.4,2.4,17
2015-11-12,21.4,14.9,34.5,8.2,0.0,2.7,20
2015-11-13,23.9,16.5,41.9,8.2,0.1,2.7,19
2015-11-14,24.4,18.0,40.3,8.3,0.0,2.7,17
2015-11-15,24.3,17.8,35.2,8.3,0.4,2.7,16
2015-11-16,18.7,10.8,27.1,8.7,1.3,3.2,19
2015-11-17,19.6,15.8,23.9,10.0,0.0,4.4,29
2015-11-18,23.0,19.2,28.2,10.0,0.0,4.6,27
2015-11-19,28.4,20.7,36.5,10.0,0.0,4.6,26
2015-11-20,27.3,20.5,33.1,10.0,0.0,4.6,24
2015-11-21,24.1,13.3,34.3,10.0,0.0,4.6,23
2015-11-22,27.7,20.8,42.3,10.0,0.0,4.6,23
2015-11-23,25.7,20.3,40.1,10.0,0.1,4.6,22
2015-11-24,26.2,20.8,36.1,10.1,0.0,4.6,21
2015-11-25,26.4,19.4,31.3,10.1,0.0,4.6,21
2015-11-26,22.1,18.3,25.5,10.1,0.0,4.7,21
2015-11-27,21.0,14.9,25.3,10.1,0.1,4.7,19
2015-11-28,14.4,3.6,19.2,10.2,0.1,4.8,23
2015-11-29,11.7,5.7,17.4,10.3,0.1,4.8,23
2015-11-30,6.6,0.1,12.6,10.4,0.1,4.8,23
2015-12-01,14.5,5.5,22.6,10.5,0.1,4.9,24
2015-12-02,22.3,12.0,31.5,10.6,0.1,4.9,23
2015-12-03,27.0,21.0,36.3,10.7,0.0,5.0,22
2015-12-04,26.2,19.9,35.2,10.7,0.1,5.0,23
2015-12-05,19.9,12.9,24.8,10.8,0.1,5.1,23
2015-12-06,29.1,18.7,39.6,10.9,0.0,5.1,24
2015-12-07,33.1,27.5,42.1,10.9,0.1,5.2,22
2015-12-08,35.1,27.1,41.9,11.0,0.0,5.3,23
2015-12-09,38.3,32.5,43.5,11.0,0.0,5.3,22
2015-12-10,34.2,29.3,40.8,11.0,0.0,5.3,22
2015-12-11,26.4,20.8,30.4,11.0,0.0,5.3,22
2015-12-12,20.3,15.6,25.3,11.0,0.2,5.3,22
2015-12-13,25.3,12.9,34.3,11.2,0.1,5.6,29
2015-12-14,14.4,6.3,24.1,11.3,0.5,5.7,28
2015-12-15,4.6,-2.2,9.1,11.8,0.3,6.2,36
2015-12-16,5.4,-1.7,12.4,12.1,0.1,6.3,34
2015-12-17,10.9,2.1,23.5,12.2,0.1,6.3,32
2015-12-18,25.0,19.0,32.4,12.3,0.1,6.6,32
2015-12-19,26.2,18.3,34.7,12.4,0.0,6.6,30
2015-12-20,17.2,9.3,23.4,12.4,0.2,6.8,31
2015-12-21,17.1,12.6,22.1,12.6,0.2,7.0,33
2015-12-22,19.8,17.8,22.6,12.8,1.6,7.3,36
2015-12-23,11.5,-0.8,18.0,14.4,0.7,8.9,49
2015-12-24,10.0,-2.2,17.6,15.1,0.3,9.7,57
2015-12-25,8.8,-4.0,16.9,15.4,0.7,10.1,57
2015-12-26,3.6,-5.8,12.0,16.1,0.1,10.9,57
2015-12-27,13.1,8.6,20.5,16.2,0.0,11.0,55
2015-12-28,11.1,0.9,21.0,16.2,0.0,11.0,52
2015-12-29,5.9,-0.2,15.4,16.2,0.0,11.0,48
2015-12-30,5.5,-0.6,10.2,16.2,0.1,11.0,50
2015-12-31,5.7,-1.7,13.8,16.3,0.0,11.0,49
2016-01-01,6.6,-0.9,18.3,16.3,0.1,11.0,48
2016-01-02,19.9,5.9,29.8,16.4,0.0,11.0,47
2016-01-03,22.3,17.2,32.0,16.4,0.0,11.1,46
2016-01-04,21.4,16.9,29.5,16.4,0.1,11.1,45
2016-01-05,19.2,15.3,24.8,16.5,0.1,11.3,46
2016-01-06,19.2,16.5,22.1,16.6,0.8,11.5,47
2016-01-07,15.1,10.8,19.2,17.4,0.4,12.2,56
2016-01-08,11.7,3.0,18.9,17.8,0.2,12.7,62
2016-01-09,6.1,-1.8,17.4,18.0,0.1,12.8,65
2016-01-10,4.5,-1.5,14.5,18.1,0.0,12.8,62
2016-01-11,12.9,3.9,24.6,18.1,0.0,12.8,59
