Date,Mancos (905) Air Temperature Average (degF),Mancos (905) Air Temperature Minimum (degF),Mancos (905) Air Temperature Maximum (degF),Mancos (905) Precipitation Accumulation (in) Start of Day Values,Mancos (905) Precipitation Increment (in),Mancos (905) Snow Water Equivalent (in) Start of Day Values,Mancos (905) Snow Depth (in) Start of Day Values
2015-10-01,57.9,52.5,67.1,0.0,0.0,0.0,0
2015-10-02,51.4,42.4,60.8,0.0,0.0,0.0,0
2015-10-03,45.7,39.6,54.1,0.0,0.0,0.0,0
2015-10-04,45.7,41.2,53.4,0.0,0.1,0.0,0
2015-10-05,41.4,35.1,52.0,0.1,1.1,0.0,0
2015-10-06,40.6,34.7,49.5,1.2,0.2,0.0,0
2015-10-07,39.9,36.3,46.0,1.4,0.1,0.0,0
2015-10-08,48.4,39.9,57.0,1.5,0.0,0.0,0
2015-10-09,48.4,43.7,57.4,1.5,0.0,0.0,0
2015-10-10,49.3,42.4,60.8,1.5,0.0,0.0,0
2015-10-11,49.1,42.6,61.5,1.5,0.0,0.0,0
2015-10-12,52.5,42.8,64.8,1.5,0.0,0.0,0
2015-10-13,53.2,45.5,66.2,1.5,0.0,0.0,0
2015-10-14,52.9,44.2,66.9,1.5,0.0,0.0,0
2015-10-15,53.8,47.8,62.1,1.5,0.0,0.0,0
2015-10-16,47.5,42.1,54.7,1.5,0.0,0.0,0
2015-10-17,44.6,40.1,53.2,1.5,0.1,0.0,0
2015-10-18,43.2,38.8,50.2,1.6,0.4,0.0,0
2015-10-19,42.8,38.1,50.9,2.0,0.2,0.0,0
2015-10-20,38.5,31.8,48.4,2.2,0.4,0.0,0
2015-10-21,37.0,34.0,45.0,2.6,0.2,0.0,0
2015-10-22,33.1,31.6,37.2,2.8,0.1,0.0,0
2015-10-23,34.9,30.4,42.4,2.9,0.0,0.1,1
2015-10-24,38.1,33.1,44.2,2.9,0.0,0.0,0
2015-10-25,40.1,35.8,46.2,2.9,0.1,0.0,0
2015-10-26,34.9,30.4,39.9,3.0,0.0,0.1,1
2015-10-27,34.9,27.9,45.9,3.0,0.0,0.0,0
2015-10-28,37.2,28.8,47.3,3.0,0.1,0.0,0
2015-10-29,34.3,29.8,41.7,3.1,0.0,0.0,0
