Date,Buffalo Park (913) Air Temperature Average (degF),Buffalo Park (913) Air Temperature Minimum (degF),Buffalo Park (913) Air Temperature Maximum (degF),Buffalo Park (913) Precipitation Accumulation (in) Start of Day Values,Buffalo Park (913) Precipitation Increment (in),Buffalo Park (913) Snow Water Equivalent (in) Start of Day Values,Buffalo Park (913) Snow Depth (in) Start of Day Values
2015-10-01,47.3,34.3,64.0,0.0,0.0,0.0,0
2015-10-02,47.8,32.2,71.6,0.0,0.1,0.0,0
2015-10-03,43.5,29.8,58.3,0.1,0.0,0.0,0
2015-10-04,42.6,27.3,64.4,0.1,0.0,0.0,0
2015-10-05,42.1,25.0,57.2,0.1,0.0,0.0,0
2015-10-06,42.3,29.8,55.2,0.1,0.0,0.0,0
2015-10-07,41.0,27.1,58.5,0.1,0.0,0.0,0
2015-10-08,40.5,23.7,60.8,0.1,0.0,0.0,0
2015-10-09,41.9,24.6,61.5,0.1,0.0,0.0,0
2015-10-10,43.2,23.9,67.8,0.1,0.0,0.0,0
2015-10-11,47.1,25.7,64.0,0.1,0.0,0.0,0
2015-10-12,43.9,27.5,61.0,0.1,0.0,0.0,0
2015-10-13,42.6,25.9,62.2,0.1,0.0,0.0,0
2015-10-14,41.4,23.9,64.2,0.1,0.0,0.0,0
2015-10-15,40.1,21.7,61.3,0.1,0.0,0.0,0
2015-10-16,40.8,23.0,64.9,0.1,0.0,0.0,0
2015-10-17,43.9,24.1,67.5,0.1,0.0,0.0,0
2015-10-18,43.7,35.6,59.7,0.1,0.0,0.0,0
2015-10-19,40.1,29.1,56.1,0.1,0.1,0.0,0
2015-10-20,40.1,32.7,50.7,0.2,0.1,0.0,0
2015-10-21,37.4,25.2,52.5,0.3,0.0,0.0,0
2015-10-22,30.9,23.4,34.9,0.3,0.6,0.3,1
2015-10-23,32.2,22.3,40.1,0.9,0.0,0.9,3
2015-10-24,29.7,17.4,46.6,0.9,0.0,0.9,3
2015-10-25,34.3,20.1,53.2,0.9,0.0,0.9,2
2015-10-26,35.8,28.8,48.4,0.9,0.1,0.9,2
2015-10-27,27.0,16.2,35.1,1.0,0.3,0.9,2
2015-10-28,25.7,12.9,39.4,1.3,0.1,1.0,4
2015-10-29,30.2,21.2,41.7,1.4,0.0,1.1,4
2015-10-30,28.8,21.7,34.9,1.4,0.1,1.1,3
2015-10-31,32.5,27.1,42.3,1.5,0.0,1.3,4
2015-11-01,36.3,24.3,49.3,1.5,0.0,1.3,4
2015-11-02,40.5,26.8,57.0,1.5,0.0,1.3,4
2015-11-03,35.6,21.2,53.4,1.5,0.0,1.3,4
2015-11-04,31.3,25.0,38.8,1.5,0.1,1.3,4
2015-11-05,20.7,17.8,25.2,1.6,0.2,1.5,5
2015-11-06,19.4,15.6,24.4,1.8,0.3,1.5,6
2015-11-07,13.3,-4.5,34.3,2.1,0.0,1.9,8
2015-11-08,15.1,-4.5,39.0,2.1,0.0,1.9,9
2015-11-09,24.3,4.3,43.5,2.1,0.1,1.9,8
2015-11-10,30.9,23.5,45.5,2.2,0.2,2.0,7
2015-11-11,16.0,4.6,25.2,2.4,0.3,2.2,12
2015-11-12,17.2,1.9,29.8,2.7,0.0,2.6,14
2015-11-13,12.2,-6.7,39.9,2.7,0.0,2.6,14
2015-11-14,15.8,-1.5,43.2,2.7,0.0,2.6,13
2015-11-15,19.4,-2.7,41.9,2.7,0.1,2.6,12
2015-11-16,24.6,21.0,29.7,2.8,0.4,2.6,12
2015-11-17,17.4,12.9,21.0,3.2,0.0,3.0,15
2015-11-18,22.3,18.0,29.1,3.2,0.1,3.0,16
2015-11-19,26.8,18.3,32.5,3.3,0.2,3.2,16
2015-11-20,20.3,-4.7,29.5,3.5,0.0,3.3,16
2015-11-21,8.8,-13.0,28.8,3.5,0.0,3.4,18
2015-11-22,18.9,2.3,39.0,3.5,0.0,3.4,17
2015-11-23,16.7,-4.4,43.5,3.5,0.1,3.4,16
2015-11-24,25.9,5.5,41.0,3.6,0.1,3.5,16
2015-11-25,30.7,23.5,43.7,3.7,0.0,3.5,16
2015-11-26,21.7,8.6,34.5,3.7,0.0,3.5,15
2015-11-27,16.0,6.1,26.4,3.7,0.0,3.6,16
2015-11-28,11.5,-9.2,25.7,3.7,0.0,3.6,16
2015-11-29,9.5,-3.3,25.2,3.7,0.1,3.7,18
2015-11-30,4.5,-2.9,10.9,3.8,0.0,3.8,18
2015-12-01,6.1,-9.0,18.3,3.8,0.0,3.8,18
2015-12-02,7.3,-15.7,31.6,3.8,0.1,3.8,18
2015-12-03,15.6,-1.1,34.0,3.9,0.0,3.9,18
2015-12-04,23.7,1.6,41.9,3.9,0.1,3.9,17
2015-12-05,16.3,-7.2,28.8,4.0,0.0,3.9,17
2015-12-06,14.0,-9.4,36.5,4.0,0.0,3.9,18
2015-12-07,25.2,10.2,40.1,4.0,0.1,3.9,18
2015-12-08,29.7,20.3,38.7,4.1,0.0,4.0,18
2015-12-09,28.8,11.7,43.9,4.1,0.0,4.0,18
2015-12-10,30.2,17.4,39.0,4.1,0.0,4.0,18
2015-12-11,23.0,20.1,26.8,4.1,0.4,4.1,18
2015-12-12,18.0,9.1,21.4,4.5,0.0,4.4,22
2015-12-13,6.4,-9.9,22.6,4.5,0.0,4.4,22
2015-12-14,19.2,1.2,31.8,4.5,0.3,4.4,20
2015-12-15,10.9,5.2,18.9,4.8,0.2,4.8,25
2015-12-16,7.5,3.6,12.7,5.0,0.2,5.1,27
2015-12-17,4.6,-3.5,10.6,5.2,0.2,5.2,27
2015-12-18,16.7,3.0,28.8,5.4,0.0,5.4,29
2015-12-19,23.0,1.0,34.0,5.4,0.2,5.4,26
