Date,Medano Pass (914) Air Temperature Average (degF),Medano Pass (914) Air Temperature Minimum (degF),Medano Pass (914) Air Temperature Maximum (degF),Medano Pass (914) Precipitation Accumulation (in) Start of Day Values,Medano Pass (914) Precipitation Increment (in),Medano Pass (914) Snow Water Equivalent (in) Start of Day Values,Medano Pass (914) Snow Depth (in) Start of Day Values
2015-10-01,53.4,38.8,,0.0,0.0,0.0,0
2015-10-02,55.8,43.7,67.8,0.0,0.0,0.0,0
2015-10-03,49.3,37.8,61.2,0.0,0.0,0.0,0
2015-10-04,45.5,34.5,58.6,0.0,0.1,0.0,0
2015-10-05,48.0,41.4,59.9,0.1,0.0,0.0,0
2015-10-06,47.1,37.8,59.4,0.1,0.0,0.0,0
2015-10-07,42.4,34.2,56.8,0.1,0.0,0.0,0
2015-10-08,46.0,33.3,61.7,0.1,0.0,0.0,0
2015-10-09,48.4,30.9,62.6,0.1,0.0,0.0,0
2015-10-10,51.3,37.2,64.2,0.1,0.0,0.0,0
2015-10-11,52.7,34.9,68.4,0.1,0.0,0.0,0
2015-10-12,48.0,32.2,66.9,0.1,0.0,0.0,0
2015-10-13,48.6,31.8,67.1,0.1,0.0,0.0,0
2015-10-14,47.1,29.5,67.6,0.1,0.0,0.0,0
2015-10-15,46.4,34.5,65.5,0.1,0.0,0.0,0
2015-10-16,45.7,28.8,59.7,0.1,0.0,0.0,0
2015-10-17,47.1,31.5,58.6,0.1,0.0,0.0,0
2015-10-18,47.1,40.8,53.1,0.1,0.0,0.0,0
2015-10-19,46.2,40.1,54.3,0.1,0.0,0.0,0
2015-10-20,42.3,34.7,54.0,0.1,0.2,0.0,0
2015-10-21,35.1,32.7,38.1,0.3,0.7,0.0,0
2015-10-22,35.1,32.5,40.3,1.0,0.8,0.2,1
2015-10-23,37.2,32.2,48.9,1.8,0.0,0.4,1
2015-10-24,37.0,29.5,52.2,1.8,0.0,0.2,1
2015-10-25,39.2,27.9,52.9,1.8,0.1,0.0,0
2015-10-26,39.6,28.2,51.3,1.9,0.0,0.1,2
2015-10-27,34.7,22.6,49.1,1.9,0.0,0.1,1
2015-10-28,38.7,18.9,,1.9,0.1,0.0,0
2015-10-29,37.9,28.4,50.7,2.0,0.1,0.2,1
2015-10-30,30.6,19.9,35.2,2.1,0.2,0.3,2
2015-10-31,33.8,20.1,46.6,2.3,0.1,0.2,1
2015-11-01,43.9,27.3,57.2,2.4,0.0,0.1,1
2015-11-02,44.1,28.2,56.7,2.4,0.0,0.2,1
2015-11-03,44.8,38.8,53.4,2.4,0.0,0.2,1
2015-11-04,34.2,21.0,43.2,2.4,0.1,0.2,1
2015-11-05,25.9,21.2,33.8,2.5,0.0,0.3,3
2015-11-06,26.4,19.9,36.9,2.5,0.1,0.3,2
2015-11-07,23.5,12.0,40.8,2.6,0.0,0.2,1
2015-11-08,27.0,10.4,39.4,2.6,0.1,0.2,2
2015-11-09,34.5,20.8,43.5,2.7,0.0,0.2,1
2015-11-10,36.1,20.3,45.7,2.7,0.0,0.2,1
2015-11-11,25.0,17.1,33.8,2.7,0.0,0.1,1
2015-11-12,28.2,19.4,40.6,2.7,0.0,0.0,0
2015-11-13,30.2,20.3,45.0,2.7,0.0,0.0,0
2015-11-14,33.3,15.6,48.0,2.7,0.0,0.0,0
2015-11-15,35.6,29.7,41.7,2.7,0.0,0.1,1
2015-11-16,29.7,21.6,36.7,2.7,0.5,0.1,1
2015-11-17,22.1,10.2,31.3,3.2,0.4,0.9,6
2015-11-18,27.9,19.4,40.6,3.6,0.1,1.1,11
2015-11-19,34.2,27.1,42.3,3.7,0.0,1.2,8
2015-11-20,32.2,12.4,41.4,3.7,0.0,1.2,7
2015-11-21,22.6,4.6,36.1,3.7,0.0,1.1,6
2015-11-22,28.8,18.9,40.6,3.7,0.0,1.1,6
2015-11-23,29.3,14.4,43.9,3.7,0.1,1.0,5
2015-11-24,35.8,30.6,43.0,3.8,0.1,1.1,5
2015-11-25,37.8,32.2,44.6,3.9,0.0,1.2,5
2015-11-26,21.9,6.4,37.4,3.9,0.0,1.3,5
2015-11-27,10.2,3.6,28.4,3.9,0.7,1.3,8
2015-11-28,26.6,17.1,33.1,4.6,0.0,1.9,11
2015-11-29,24.6,16.7,31.3,4.6,0.0,1.9,10
2015-11-30,14.9,10.2,21.7,4.6,0.0,1.9,9
2015-12-01,15.6,5.2,30.9,4.6,0.0,1.9,13
2015-12-02,21.2,3.6,39.6,4.6,0.3,1.9,12
2015-12-03,28.2,18.0,42.4,4.9,0.0,2.0,11
2015-12-04,35.6,19.6,42.8,4.9,0.0,2.0,11
2015-12-05,25.7,8.1,38.3,4.9,0.0,2.1,10
2015-12-06,29.3,6.3,51.3,4.9,0.1,2.1,10
2015-12-07,42.6,34.5,48.6,5.0,0.0,2.1,10
2015-12-08,38.8,32.5,45.0,5.0,0.0,2.1,9
2015-12-09,38.8,27.9,50.7,5.0,0.0,2.1,9
2015-12-10,40.8,38.1,46.2,5.0,0.1,2.1,9
2015-12-11,33.8,27.5,39.4,5.1,0.1,2.1,9
2015-12-12,24.8,18.0,31.8,5.2,0.5,2.4,11
2015-12-13,25.7,16.3,41.2,5.7,0.0,3.1,21
2015-12-14,26.2,11.7,34.3,5.7,0.2,3.1,19
2015-12-15,10.8,-2.0,15.3,5.9,0.2,3.3,23
2015-12-16,10.0,-1.1,18.3,6.1,0.1,3.3,21
2015-12-17,13.1,0.3,23.9,6.2,0.1,3.4,20
2015-12-18,29.7,17.1,45.3,6.3,0.0,3.5,19
2015-12-19,36.3,32.0,41.4,6.3,0.1,3.5,18
2015-12-20,25.9,16.7,34.3,6.4,0.0,3.6,19
2015-12-21,23.5,17.6,31.6,6.4,0.0,3.6,19
2015-12-22,25.0,21.6,30.2,6.4,0.1,3.6,19
2015-12-23,19.8,8.1,27.9,6.5,0.1,3.9,19
2015-12-24,13.8,-3.1,21.4,6.6,0.3,3.9,20
2015-12-25,18.3,8.2,25.0,6.9,0.0,3.9,20
2015-12-26,5.0,-4.7,12.9,6.9,0.0,3.9,20
2015-12-27,10.2,1.4,24.1,6.9,0.0,3.9,20
2015-12-28,12.7,0.3,32.9,6.9,0.0,3.9,20
2015-12-29,11.1,-0.8,24.4,6.9,0.2,3.9,19
2015-12-30,13.1,4.5,23.5,7.1,0.0,4.0,19
2015-12-31,9.1,-3.3,25.9,7.1,0.0,4.0,20
2016-01-01,5.5,-6.2,24.4,7.1,0.0,4.0,20
2016-01-02,13.3,-3.3,34.9,7.1,0.1,4.0,20
2016-01-03,22.3,9.5,42.6,7.2,0.2,4.0,19
2016-01-04,25.9,11.8,38.1,7.4,0.1,4.1,20
2016-01-05,23.9,17.6,29.5,7.5,0.0,4.3,19
2016-01-06,23.2,12.6,31.6,7.5,0.0,4.3,19
2016-01-07,19.0,6.6,27.7,7.5,0.0,4.3,20
2016-01-08,12.0,0.1,20.7,7.5,0.0,4.3,19
2016-01-09,8.8,-2.6,23.9,7.5,0.0,4.4,27
2016-01-10,5.5,-7.2,19.6,7.5,0.0,4.4,23
2016-01-11,7.9,-7.1,26.8,7.5,0.0,4.4,23
2016-01-12,20.1,-2.2,43.0,7.5,0.3,4.4,25
2016-01-13,26.4,8.4,42.6,7.8,0.0,4.6,23
2016-01-14,24.4,14.5,32.2,7.8,0.0,4.6,22
2016-01-15,18.3,8.4,28.8,7.8,0.0,4.6,22
2016-01-16,18.9,6.8,28.4,7.8,0.0,4.6,22
2016-01-17,23.4,16.5,30.9,7.8,0.0,4.6,22
2016-01-18,28.8,15.6,40.1,7.8,0.0,4.6,22
2016-01-19,26.4,20.1,34.3,7.8,0.0,4.6,22
2016-01-20,23.4,14.4,33.1,7.8,0.0,4.6,22
2016-01-21,13.3,0.7,27.9,7.8,0.0,4.6,21
2016-01-22,23.0,5.2,40.1,7.8,0.0,4.6,21
2016-01-23,30.6,12.9,43.9,7.8,0.0,4.6,21
2016-01-24,25.7,18.0,32.5,7.8,0.0,4.6,21
2016-01-25,14.0,1.8,28.8,7.8,0.0,4.6,21
2016-01-26,10.0,-4.4,25.2,7.8,0.0,4.6,21
2016-01-27,20.8,4.6,43.0,7.8,0.0,4.6,21
2016-01-28,26.6,10.0,42.8,7.8,0.1,4.6,22
2016-01-29,37.0,28.4,46.4,7.9,0.1,4.8,21
