Date,Jackwhacker Gulch (935) Air Temperature Average (degF),Jackwhacker Gulch (935) Air Temperature Minimum (degF),Jackwhacker Gulch (935) Air Temperature Maximum (degF),Jackwhacker Gulch (935) Precipitation Accumulation (in) Start of Day Values,Jackwhacker Gulch (935) Precipitation Increment (in),Jackwhacker Gulch (935) Snow Water Equivalent (in) Start of Day Values,Jackwhacker Gulch (935) Snow Depth (in) Start of Day Values
2015-10-01,48.2,37.2,63.3,0.0,0.1,0.0,0
2015-10-02,47.8,36.0,61.5,0.1,0.0,0.0,0
2015-10-03,41.4,31.8,54.5,0.1,0.2,0.0,0
2015-10-04,41.0,34.0,51.1,0.3,0.0,0.0,0
2015-10-05,42.3,33.1,54.7,0.3,0.1,0.0,0
2015-10-06,41.4,35.2,52.0,0.4,0.3,0.0,0
2015-10-07,39.9,33.6,54.7,0.7,0.0,0.0,0
2015-10-08,43.3,33.4,59.2,0.7,0.1,0.0,0
2015-10-09,46.0,34.2,58.8,0.8,0.0,0.0,0
2015-10-10,50.0,41.5,62.1,0.8,0.0,0.0,0
2015-10-11,48.7,39.9,58.5,0.8,0.0,0.0,0
2015-10-12,46.9,38.8,58.5,0.8,0.0,0.0,0
2015-10-13,48.6,42.4,59.4,0.8,0.0,0.0,0
2015-10-14,48.9,40.8,61.9,0.8,0.0,0.0,0
2015-10-15,43.7,31.8,57.0,0.8,0.0,0.0,0
2015-10-16,43.7,30.7,60.3,0.8,0.0,0.0,0
2015-10-17,43.7,33.6,58.5,0.8,0.0,0.0,0
2015-10-18,42.8,34.9,56.5,0.8,0.0,0.0,0
2015-10-19,38.1,32.2,46.6,0.8,0.0,0.0,0
2015-10-20,37.9,30.9,48.2,0.8,0.2,0.0,0
2015-10-21,33.3,30.6,35.1,1.0,0.2,0.3,1
2015-10-22,33.6,30.6,38.3,1.2,1.1,0.3,1
2015-10-23,33.1,27.7,39.9,2.3,0.1,1.2,10
2015-10-24,30.4,23.5,43.9,2.4,0.0,1.2,7
2015-10-25,33.8,22.8,47.7,2.4,0.0,1.2,7
2015-10-26,34.9,30.2,44.6,2.4,0.0,1.2,7
2015-10-27,28.9,22.1,37.8,2.4,0.2,1.2,6
2015-10-28,32.0,22.3,41.7,2.6,0.1,1.4,7
2015-10-29,34.3,27.7,45.1,2.7,0.0,1.4,6
2015-10-30,30.0,25.0,37.4,2.7,0.1,1.4,6
2015-10-31,32.9,27.0,40.6,2.8,0.1,1.4,6
2015-11-01,38.5,32.4,46.8,2.9,0.0,1.4,6
2015-11-02,40.3,30.7,54.7,2.9,0.0,1.4,6
2015-11-03,38.5,28.6,50.0,2.9,0.0,1.4,5
2015-11-04,32.0,23.7,40.1,2.9,0.3,1.4,5
2015-11-05,21.9,18.0,27.5,3.2,0.1,1.6,9
2015-11-06,19.0,14.7,24.3,3.3,0.1,1.6,8
2015-11-07,26.8,10.6,45.9,3.4,0.0,1.7,9
2015-11-08,34.2,25.3,51.6,3.4,0.0,1.8,8
