Date,Echo Lake (936) Air Temperature Average (degF),Echo Lake (936) Air Temperature Minimum (degF),Echo Lake (936) Air Temperature Maximum (degF),Echo Lake (936) Precipitation Accumulation (in) Start of Day Values,Echo Lake (936) Precipitation Increment (in),Echo Lake (936) Snow Water Equivalent (in) Start of Day Values,Echo Lake (936) Snow Depth (in) Start of Day Values
2015-10-01,45.9,36.0,59.7,0.0,0.0,0.0,0
2015-10-02,46.4,34.0,60.6,0.0,0.0,0.0,0
2015-10-03,38.1,28.8,53.4,0.0,0.3,0.0,0
2015-10-04,38.7,30.9,53.2,0.3,0.0,0.0,0
2015-10-05,39.6,30.6,55.6,0.3,0.0,0.0,0
2015-10-06,37.4,32.7,45.0,0.3,0.3,0.0,0
2015-10-07,36.9,30.0,49.6,0.6,0.0,0.0,0
2015-10-08,40.6,30.0,56.5,0.6,0.0,0.0,0
2015-10-09,42.8,30.4,55.6,0.6,0.0,0.0,0
2015-10-10,50.0,40.3,63.9,0.6,0.0,0.0,0
2015-10-11,50.4,45.5,58.5,0.6,0.0,0.0,0
2015-10-12,47.5,35.8,59.5,0.6,0.0,0.0,0
2015-10-13,48.0,36.3,58.8,0.6,0.0,0.0,0
2015-10-14,48.4,37.4,62.1,0.6,0.0,0.0,0
2015-10-15,38.1,27.5,50.7,0.6,0.0,0.0,0
2015-10-16,41.4,27.5,59.5,0.6,0.0,0.0,0
2015-10-17,41.0,30.7,57.9,0.6,0.0,0.0,0
2015-10-18,41.9,34.3,51.6,0.6,0.0,0.0,0
2015-10-19,39.0,30.4,50.2,0.6,0.0,0.0,0
2015-10-20,37.4,30.6,47.5,0.6,0.4,0.0,0
2015-10-21,29.8,26.6,31.8,1.0,0.5,0.7,2
2015-10-22,30.6,26.8,34.5,1.5,0.8,1.0,6
2015-10-23,30.4,21.7,37.8,2.3,0.0,1.6,10
2015-10-24,27.1,18.3,41.0,2.3,0.0,1.6,10
2015-10-25,33.4,22.5,47.5,2.3,0.0,1.6,9
2015-10-26,33.8,25.0,41.4,2.3,0.0,1.5,8
2015-10-27,27.0,17.1,36.7,2.3,0.1,1.5,7
2015-10-28,33.1,21.0,42.8,2.4,0.1,1.6,9
2015-10-29,32.2,26.8,44.2,2.5,0.0,1.6,8
2015-10-30,27.9,24.8,34.5,2.5,0.1,1.5,7
2015-10-31,32.5,25.2,40.6,2.6,0.0,1.6,8
2015-11-01,38.8,29.3,46.4,2.6,0.0,1.6,7
2015-11-02,38.7,28.0,51.8,2.6,0.1,1.6,7
2015-11-03,39.0,27.5,48.4,2.7,0.0,1.6,6
2015-11-04,31.6,21.0,42.3,2.7,0.2,1.6,5
2015-11-05,19.4,15.1,25.0,2.9,0.0,1.8,8
2015-11-06,15.3,5.5,20.7,2.9,0.0,1.8,8
2015-11-07,20.7,5.0,39.4,2.9,0.0,1.8,10
2015-11-08,28.0,19.0,47.5,2.9,0.1,1.9,10
2015-11-09,29.7,18.0,45.9,3.0,0.0,1.9,9
2015-11-10,31.3,21.4,41.7,3.0,0.3,1.9,9
2015-11-11,18.3,16.2,21.4,3.3,0.4,2.1,10
2015-11-12,23.5,15.6,33.4,3.7,0.0,2.4,14
2015-11-13,27.1,14.0,40.6,3.7,0.0,2.4,13
2015-11-14,28.0,19.0,47.3,3.7,0.0,2.4,12
2015-11-15,27.0,16.9,40.8,3.7,0.0,2.4,12
2015-11-16,24.8,17.4,32.7,3.7,0.8,2.4,12
2015-11-17,16.3,13.5,21.6,4.5,0.3,3.0,20
