Date,Michigan Creek (937) Air Temperature Average (degF),Michigan Creek (937) Air Temperature Minimum (degF),Michigan Creek (937) Air Temperature Maximum (degF),Michigan Creek (937) Precipitation Accumulation (in) Start of Day Values,Michigan Creek (937) Precipitation Increment (in),Michigan Creek (937) Snow Water Equivalent (in) Start of Day Values,Michigan Creek (937) Snow Depth (in) Start of Day Values
2015-10-01,47.3,33.3,64.8,0.0,0.0,0.0,0
2015-10-02,47.1,32.5,66.0,0.0,0.0,0.0,0
2015-10-03,40.1,28.2,57.2,0.0,0.4,0.0,0
2015-10-04,41.2,33.4,52.9,0.4,0.0,0.0,0
2015-10-05,41.2,29.5,56.1,0.4,0.0,0.0,0
2015-10-06,41.2,33.1,55.6,0.4,0.2,0.0,0
2015-10-07,39.9,30.7,53.2,0.6,0.0,0.0,0
2015-10-08,43.7,32.2,59.2,0.6,0.0,0.0,0
2015-10-09,45.7,30.7,61.2,0.6,0.0,0.0,0
2015-10-10,49.3,39.2,63.7,0.6,0.0,0.0,0
2015-10-11,49.5,42.3,57.6,0.6,0.0,0.0,0
2015-10-12,47.3,38.1,59.2,0.6,0.0,0.0,0
2015-10-13,48.9,42.8,59.7,0.6,0.0,0.0,0
2015-10-14,49.5,40.8,61.9,0.6,0.0,0.0,0
2015-10-15,44.2,30.0,62.1,0.6,0.0,0.0,0
2015-10-16,43.2,29.5,60.1,0.6,0.0,0.0,0
2015-10-17,42.6,29.5,59.9,0.6,0.0,0.0,0
2015-10-18,41.0,30.6,54.3,0.6,0.0,0.0,0
2015-10-19,35.2,27.9,44.1,0.6,0.1,0.0,0
2015-10-20,35.6,27.0,47.7,0.7,0.1,0.0,0
2015-10-21,32.2,28.8,34.0,0.8,0.2,0.0,0
2015-10-22,31.6,28.8,36.3,1.0,1.0,0.2,1
2015-10-23,30.6,20.8,36.1,2.0,0.1,1.0,6
2015-10-24,26.6,18.7,40.6,2.1,0.0,1.0,5
2015-10-25,32.0,18.3,48.9,2.1,0.0,1.0,5
2015-10-26,33.3,28.4,43.9,2.1,0.1,1.0,3
2015-10-27,26.8,19.8,37.0,2.2,0.2,1.0,3
2015-10-28,30.6,19.8,39.0,2.4,0.1,1.2,6
2015-10-29,32.4,25.9,43.7,2.5,0.0,1.2,5
2015-10-30,27.5,23.5,35.6,2.5,0.0,1.2,4
2015-10-31,31.6,24.3,39.6,2.5,0.0,1.2,4
2015-11-01,38.7,30.2,48.9,2.5,0.0,1.2,4
2015-11-02,36.7,24.3,54.7,2.5,0.0,1.2,3
2015-11-03,33.3,21.2,50.9,2.5,0.0,1.2,3
2015-11-04,29.5,21.0,42.4,2.5,0.3,1.2,3
2015-11-05,19.4,15.8,24.8,2.8,0.1,1.4,5
2015-11-06,16.0,11.7,23.0,2.9,0.2,1.5,7
2015-11-07,21.4,9.5,43.9,3.1,0.1,1.7,11
2015-11-08,29.5,17.2,51.3,3.2,0.0,1.7,9
2015-11-09,28.8,18.0,47.8,3.2,0.0,1.7,8
2015-11-10,26.8,13.5,43.7,3.2,0.3,1.7,8
2015-11-11,15.8,13.3,19.9,3.5,0.0,2.0,12
2015-11-12,20.7,10.4,33.3,3.5,0.1,2.1,11
2015-11-13,27.5,20.8,40.5,3.6,0.0,2.1,10
2015-11-14,29.5,16.2,47.8,3.6,0.0,2.1,9
2015-11-15,26.2,12.6,42.6,3.6,0.0,2.1,9
2015-11-16,21.4,12.0,30.7,3.6,0.4,2.1,9
2015-11-17,14.5,11.7,17.8,4.0,0.2,2.5,15
2015-11-18,19.9,16.7,24.1,4.2,0.3,2.6,13
2015-11-19,23.9,17.1,30.6,4.5,0.0,2.6,12
2015-11-20,20.7,3.0,30.4,4.5,0.2,2.7,13
2015-11-21,14.9,-0.8,24.8,4.7,0.1,2.7,16
2015-11-22,25.9,17.1,36.5,4.8,0.0,2.7,15
2015-11-23,29.1,16.3,40.6,4.8,0.0,2.7,11
2015-11-24,26.6,13.1,36.3,4.8,0.0,2.7,13
2015-11-25,24.3,10.4,37.8,4.8,0.0,2.7,12
2015-11-26,16.0,5.5,22.5,4.8,0.2,2.7,13
2015-11-27,8.1,-7.2,16.9,5.0,0.1,2.8,14
2015-11-28,13.5,5.0,22.6,5.1,0.1,3.0,15
2015-11-29,14.2,7.7,25.2,5.2,0.1,3.1,16
2015-11-30,4.6,1.8,8.6,5.3,0.1,3.2,17
2015-12-01,9.5,3.4,15.3,5.4,0.1,3.2,16
2015-12-02,20.7,8.8,29.5,5.5,0.0,3.1,14
2015-12-03,21.0,8.1,31.6,5.5,0.0,3.1,15
2015-12-04,25.3,8.8,41.9,5.5,0.0,3.1,14
2015-12-05,17.6,10.4,25.2,5.5,0.0,3.1,15
2015-12-06,28.4,10.9,41.7,5.5,0.1,3.1,14
2015-12-07,32.5,23.4,38.7,5.6,0.0,3.1,14
2015-12-08,28.8,25.5,34.2,5.6,0.1,3.0,14
2015-12-09,36.3,27.1,44.6,5.7,0.0,3.0,13
2015-12-10,32.7,18.3,42.1,5.7,0.0,3.0,13
2015-12-11,28.8,23.0,36.9,5.7,0.0,3.0,13
2015-12-12,19.2,12.4,24.3,5.7,0.5,3.0,13
2015-12-13,19.8,7.9,29.1,6.2,0.0,3.5,21
2015-12-14,16.5,5.5,28.8,6.2,0.4,3.5,19
2015-12-15,7.2,1.8,15.1,6.6,0.3,3.8,23
2015-12-16,4.1,1.8,9.5,6.9,0.1,4.1,25
2015-12-17,3.9,1.2,11.3,7.0,0.2,4.1,23
2015-12-18,20.1,8.8,29.8,7.2,0.0,4.2,22
2015-12-19,21.6,10.9,35.2,7.2,0.0,4.3,21
2015-12-20,20.5,14.5,29.7,7.2,0.1,4.3,20
2015-12-21,18.9,14.4,24.4,7.3,0.1,4.3,20
2015-12-22,21.9,12.7,32.4,7.4,0.2,4.4,21
2015-12-23,8.8,0.3,15.6,7.6,0.4,4.7,25
2015-12-24,3.7,-5.1,11.3,8.0,0.0,5.1,28
2015-12-25,6.8,-3.5,17.1,8.0,0.2,5.1,27
2015-12-26,-2.2,-13.9,10.8,8.2,0.0,5.2,27
2015-12-27,3.7,-13.0,27.0,8.2,0.0,5.2,27
2015-12-28,13.6,-1.8,26.2,8.2,0.0,5.2,26
2015-12-29,6.1,-4.5,21.0,8.2,0.0,5.3,26
2015-12-30,3.2,-6.0,13.6,8.2,0.0,5.3,25
2015-12-31,0.0,-9.8,11.5,8.2,0.0,5.3,25
2016-01-01,5.5,-8.1,24.4,8.2,0.0,5.3,26
2016-01-02,18.9,-0.4,31.6,8.2,0.0,5.3,25
2016-01-03,22.6,10.9,34.2,8.2,0.0,5.3,24
2016-01-04,18.0,7.0,36.1,8.2,0.0,5.3,24
2016-01-05,19.9,8.4,33.1,8.2,0.0,5.3,25
2016-01-06,20.5,12.0,32.0,8.2,0.1,5.3,24
2016-01-07,16.9,5.2,23.5,8.3,0.0,5.4,24
2016-01-08,9.3,0.7,19.4,8.3,0.1,5.5,25
2016-01-09,9.5,4.6,15.8,8.4,0.0,5.5,23
2016-01-10,5.5,1.2,13.1,8.4,0.0,5.5,26
2016-01-11,12.0,2.5,20.7,8.4,0.1,5.5,26
2016-01-12,21.6,8.6,31.3,8.5,0.0,5.5,24
2016-01-13,25.2,19.2,34.2,8.5,0.0,5.5,24
2016-01-14,15.8,9.9,24.6,8.5,0.0,5.5,23
2016-01-15,11.3,6.3,19.0,8.5,0.3,5.5,23
2016-01-16,9.3,2.1,16.9,8.8,0.1,5.7,25
2016-01-17,15.8,13.6,19.4,8.9,0.2,5.8,28
2016-01-18,23.4,18.0,31.6,9.1,0.0,5.8,27
2016-01-19,15.8,4.6,27.5,9.1,0.0,5.8,26
2016-01-20,14.5,5.9,23.2,9.1,0.2,5.9,29
2016-01-21,13.1,7.9,21.6,9.3,0.0,5.9,28
2016-01-22,25.0,15.4,39.6,9.3,0.0,6.0,27
2016-01-23,27.7,14.2,41.4,9.3,0.0,6.0,27
2016-01-24,17.4,9.0,30.4,9.3,0.0,6.0,27
2016-01-25,9.7,4.1,16.7,9.3,0.1,6.0,27
2016-01-26,10.4,1.2,19.2,9.4,0.0,6.0,28
2016-01-27,21.9,11.1,34.0,9.4,0.1,6.0,27
2016-01-28,27.9,17.4,38.5,9.5,0.0,6.1,27
2016-01-29,26.6,20.1,32.5,9.5,0.0,6.1,27
2016-01-30,29.5,16.3,43.7,9.5,0.3,6.1,27
2016-01-31,15.4,9.9,24.1,9.8,0.5,6.4,31
2016-02-01,11.1,1.0,18.3,10.3,0.6,6.9,34
2016-02-02,2.8,-3.8,13.5,10.9,0.0,7.4,40
2016-02-03,-2.7,-7.2,1.6,10.9,0.1,7.4,37
2016-02-04,7.9,-2.0,15.4,11.0,0.1,7.4,38
2016-02-05,7.5,2.8,13.8,11.1,0.0,7.4,36
2016-02-06,19.8,8.8,27.1,11.1,0.1,7.4,35
2016-02-07,20.8,16.9,27.7,11.2,0.0,7.4,34
2016-02-08,23.4,17.4,32.7,11.2,0.0,7.4,33
2016-02-09,27.3,18.3,38.3,11.2,0.0,7.4,32
2016-02-10,33.8,25.9,45.7,11.2,0.0,7.4,32
2016-02-11,33.1,27.7,42.8,11.2,0.0,7.4,31
2016-02-12,36.5,30.0,45.7,11.2,0.0,7.3,30
2016-02-13,33.8,25.2,46.0,11.2,0.0,7.3,29
2016-02-14,22.6,17.8,32.0,11.2,0.2,7.3,28
2016-02-15,24.1,18.0,29.1,11.4,0.2,7.5,33
2016-02-16,28.2,21.4,38.3,11.6,0.0,7.7,34
2016-02-17,33.4,21.6,50.4,11.6,0.0,7.7,33
2016-02-18,34.0,19.4,47.3,11.6,0.3,7.7,32
2016-02-19,29.3,11.7,43.9,11.9,0.0,7.9,35
2016-02-20,28.4,18.3,41.9,11.9,0.0,7.9,34
2016-02-21,26.4,13.5,41.2,11.9,0.0,7.9,31
2016-02-22,19.8,11.3,25.3,11.9,0.1,7.9,30
2016-02-23,13.1,5.7,25.9,12.0,0.0,8.0,31
2016-02-24,18.9,7.2,29.1,12.0,0.1,8.0,32
2016-02-25,25.3,15.1,37.0,12.1,0.0,8.0,32
2016-02-26,29.8,20.5,45.9,12.1,0.0,8.0,32
2016-02-27,33.8,24.3,44.8,12.1,0.0,8.0,32
2016-02-28,27.3,17.6,41.9,12.1,0.0,8.0,32
2016-02-29,27.1,19.8,37.9,12.1,0.1,8.0,31
2016-03-01,25.9,12.7,36.3,12.2,0.0,8.0,30
2016-03-02,27.1,21.4,33.1,12.2,0.3,7.9,29
2016-03-03,32.0,20.7,43.9,12.5,0.0,8.2,34
2016-03-04,30.7,16.0,44.2,12.5,0.0,8.2,33
2016-03-05,28.0,12.4,47.5,12.5,0.0,8.2,32
2016-03-06,32.0,19.8,45.9,12.5,0.0,8.1,31
2016-03-07,21.4,16.2,30.0,12.5,0.0,8.1,31
2016-03-08,20.3,8.2,35.8,12.5,0.0,8.2,32
2016-03-09,22.1,7.9,33.8,12.5,0.1,8.2,32
2016-03-10,28.8,19.0,45.3,12.6,0.0,8.3,32
2016-03-11,34.3,15.8,56.8,12.6,0.0,8.2,31
2016-03-12,31.5,25.3,43.7,12.6,0.1,8.2,31
2016-03-13,29.7,21.0,41.2,12.7,0.0,8.4,30
2016-03-14,25.7,15.8,37.2,12.7,0.3,8.4,30
2016-03-15,13.1,7.7,20.7,13.0,0.4,8.6,35
2016-03-16,13.5,7.5,19.4,13.4,0.3,9.0,36
2016-03-17,20.3,13.5,28.8,13.7,0.3,9.4,40
2016-03-18,14.7,8.6,25.2,14.0,0.2,9.8,42
2016-03-19,16.0,7.0,26.8,14.2,0.0,10.0,44
2016-03-20,28.0,8.8,41.7,14.2,0.1,10.0,42
2016-03-21,36.9,25.5,49.3,14.3,0.0,10.0,40
2016-03-22,34.0,20.1,47.8,14.3,0.0,10.0,38
2016-03-23,16.3,14.5,20.1,14.3,0.4,10.0,37
2016-03-24,19.4,12.2,28.2,14.7,0.1,10.4,42
2016-03-25,17.6,1.6,29.5,14.8,0.1,10.4,40
2016-03-26,10.6,-3.8,21.6,14.9,0.1,10.6,43
2016-03-27,21.6,4.6,34.2,15.0,0.0,10.7,45
2016-03-28,33.4,20.3,48.6,15.0,0.0,10.7,42
2016-03-29,28.0,14.7,45.7,15.0,0.0,10.7,41
2016-03-30,16.9,12.2,26.2,15.0,0.1,10.7,40
2016-03-31,14.7,2.3,27.9,15.1,0.0,10.8,40
2016-04-01,17.6,3.2,28.2,15.1,0.1,10.8,40
2016-04-02,29.5,12.6,45.9,15.2,0.0,10.8,40
2016-04-03,33.4,25.9,46.2,15.2,0.0,10.8,40
2016-04-04,35.2,22.1,51.1,15.2,0.0,10.8,39
2016-04-05,25.5,17.1,41.4,15.2,0.4,10.7,38
2016-04-06,30.4,17.4,42.8,15.6,0.0,11.0,42
2016-04-07,34.5,22.6,50.9,15.6,0.0,11.0,40
2016-04-08,34.0,17.4,51.6,15.6,0.0,11.0,39
2016-04-09,33.4,21.9,48.4,15.6,0.0,10.8,37
2016-04-10,34.2,25.2,46.4,15.6,0.1,10.7,37
2016-04-11,33.4,23.0,47.8,15.7,0.0,10.9,38
2016-04-12,35.2,27.3,49.6,15.7,0.0,10.8,36
2016-04-13,37.2,27.0,53.8,15.7,0.0,10.6,35
2016-04-14,36.1,25.5,51.3,15.7,0.0,10.4,35
2016-04-15,27.0,21.4,35.6,15.7,1.5,10.3,34
2016-04-16,21.6,16.9,28.8,17.2,0.1,11.5,47
2016-04-17,20.5,15.8,29.5,17.3,0.1,11.7,48
2016-04-18,23.0,14.4,36.9,17.4,0.3,11.8,45
2016-04-19,25.0,18.9,36.5,17.7,0.0,12.0,46
2016-04-20,30.6,21.9,40.1,17.7,0.1,12.1,45
2016-04-21,36.1,23.9,51.3,17.8,0.0,12.1,42
2016-04-22,38.1,20.1,59.2,17.8,0.0,11.9,40
2016-04-23,36.7,26.6,55.4,17.8,0.0,11.7,38
2016-04-24,31.8,24.3,41.2,17.8,0.1,11.6,37
2016-04-25,35.1,19.9,51.3,17.9,0.0,11.6,36
2016-04-26,27.1,18.3,38.1,17.9,0.1,11.4,35
2016-04-27,27.7,21.0,37.9,18.0,0.1,11.4,35
2016-04-28,26.2,23.5,30.7,18.1,0.6,11.4,34
