Date,Buckskin Joe (938) Air Temperature Average (degF),Buckskin Joe (938) Air Temperature Minimum (degF),Buckskin Joe (938) Air Temperature Maximum (degF),Buckskin Joe (938) Precipitation Accumulation (in) Start of Day Values,Buckskin Joe (938) Precipitation Increment (in),Buckskin Joe (938) Snow Water Equivalent (in) Start of Day Values,Buckskin Joe (938) Snow Depth (in) Start of Day Values
2015-10-01,48.6,33.4,,0.0,0.0,0.0,0
2015-10-02,45.3,,,0.0,0.1,0.0,0
2015-10-03,41.4,,,0.1,0.0,0.0,0
2015-10-04,40.6,,,0.1,0.0,0.0,0
2015-10-05,38.5,32.0,,0.1,0.3,0.0,0
2015-10-06,38.8,34.0,52.5,0.4,0.1,0.0,0
2015-10-07,38.5,30.2,,0.5,0.0,0.0,0
2015-10-08,41.9,30.6,,0.5,0.0,0.0,0
2015-10-09,44.2,30.7,59.7,0.5,0.0,0.0,0
2015-10-10,50.7,42.3,,0.5,0.0,0.0,0
2015-10-11,48.0,,,0.5,0.0,0.0,0
2015-10-12,46.8,,,0.5,0.0,0.0,0
2015-10-13,47.5,,,0.5,0.0,0.0,0
2015-10-14,48.2,39.0,,0.5,0.0,0.0,0
2015-10-15,43.5,31.8,59.4,0.5,0.0,0.0,0
2015-10-16,43.2,27.1,,0.5,0.1,0.0,0
2015-10-17,41.0,33.3,,0.6,0.0,0.0,0
2015-10-18,41.9,34.7,,0.6,0.0,0.0,0
2015-10-19,38.1,32.7,,0.6,0.1,0.0,0
2015-10-20,35.8,29.7,,0.7,0.3,0.0,0
2015-10-21,32.0,29.3,33.4,1.0,0.4,0.5,1
2015-10-22,31.5,,35.8,1.4,0.8,0.8,2
2015-10-23,30.6,23.9,43.2,2.2,0.1,1.6,8
2015-10-24,28.8,,,2.3,0.0,1.6,8
2015-10-25,34.2,,,2.3,0.0,1.6,8
2015-10-26,32.7,27.1,,2.3,0.0,1.6,8
2015-10-27,26.4,,,2.3,0.2,1.6,7
2015-10-28,30.9,19.2,,2.5,0.1,1.7,6
2015-10-29,32.9,27.3,,2.6,0.0,1.7,7
2015-10-30,27.5,,,2.6,0.0,1.7,4
2015-10-31,30.7,,,2.6,0.0,1.8,7
2015-11-01,37.0,24.3,,2.6,0.0,1.7,6
