Date,Rough And Tumble (939) Air Temperature Average (degF),Rough And Tumble (939) Air Temperature Minimum (degF),Rough And Tumble (939) Air Temperature Maximum (degF),Rough And Tumble (939) Precipitation Accumulation (in) Start of Day Values,Rough And Tumble (939) Precipitation Increment (in),Rough And Tumble (939) Snow Water Equivalent (in) Start of Day Values,Rough And Tumble (939) Snow Depth (in) Start of Day Values
2015-10-01,50.0,36.0,65.7,0.0,0.0,0.0,0
2015-10-02,47.5,33.1,62.2,0.0,0.0,0.0,0
2015-10-03,43.5,29.3,57.2,0.0,0.0,0.0,0
2015-10-04,42.8,34.2,54.1,0.0,0.0,0.0,0
2015-10-05,43.5,29.8,57.6,0.0,0.0,0.0,0
2015-10-06,43.5,33.3,56.1,0.0,0.5,0.0,0
2015-10-07,39.4,31.3,53.4,0.5,0.0,0.0,0
2015-10-08,42.6,29.7,56.7,0.5,0.0,0.0,0
2015-10-09,46.0,30.4,61.9,0.5,0.0,0.0,0
2015-10-10,52.9,42.4,67.1,0.5,0.0,0.0,0
2015-10-11,51.1,44.6,60.1,0.5,0.0,0.0,0
2015-10-12,49.1,37.0,62.2,0.5,0.0,0.0,0
2015-10-13,49.3,38.5,60.8,0.5,0.0,0.0,0
2015-10-14,51.1,38.5,64.0,0.5,0.0,0.0,0
2015-10-15,43.5,29.8,59.4,0.5,0.0,0.0,0
2015-10-16,43.0,26.2,61.2,0.5,0.0,0.0,0
2015-10-17,44.1,31.6,56.7,0.5,0.0,0.0,0
2015-10-18,43.0,34.0,55.8,0.5,0.0,0.0,0
2015-10-19,39.9,30.9,49.8,0.5,0.0,0.0,0
2015-10-20,38.8,28.8,48.9,0.5,0.1,0.0,0
2015-10-21,32.7,30.9,34.9,0.6,0.7,0.1,1
2015-10-22,32.5,30.6,37.0,1.3,0.5,0.7,2
2015-10-23,32.9,23.5,39.0,1.8,0.0,1.3,6
2015-10-24,30.4,19.8,45.7,1.8,0.0,1.2,4
2015-10-25,37.2,27.0,49.3,1.8,0.1,1.1,4
2015-10-26,34.9,27.5,43.2,1.9,0.0,1.2,2
2015-10-27,28.0,18.3,40.5,1.9,0.1,1.2,3
2015-10-28,33.1,19.4,43.0,2.0,0.1,1.3,5
2015-10-29,34.3,28.8,43.9,2.1,0.0,1.3,4
2015-10-30,29.5,25.0,36.1,2.1,0.1,1.3,4
2015-10-31,33.8,26.2,42.4,2.2,0.1,1.4,5
2015-11-01,37.8,28.8,49.8,2.3,0.0,1.4,4
2015-11-02,41.7,30.2,50.9,2.3,0.0,1.4,4
2015-11-03,40.1,33.4,46.6,2.3,0.0,1.4,4
2015-11-04,30.0,21.4,36.0,2.3,0.2,1.4,4
2015-11-05,21.2,15.3,29.1,2.5,0.0,1.5,5
2015-11-06,18.7,12.9,26.6,2.5,0.0,1.5,5
2015-11-07,20.8,4.6,39.4,2.5,0.0,1.5,6
2015-11-08,29.3,16.9,47.3,2.5,0.0,1.5,6
2015-11-09,31.6,19.2,43.5,2.5,0.0,1.5,6
2015-11-10,30.9,19.9,38.7,2.5,0.1,1.5,6
2015-11-11,18.7,10.9,23.5,2.6,0.0,1.6,6
2015-11-12,24.3,12.6,35.1,2.6,0.0,1.6,6
2015-11-13,28.2,18.7,41.7,2.6,0.0,1.6,6
2015-11-14,29.7,19.4,44.6,2.6,0.0,1.6,6
2015-11-15,29.5,20.1,40.3,2.6,0.0,1.6,6
2015-11-16,25.7,19.8,32.9,2.6,0.3,1.6,5
2015-11-17,18.9,16.0,23.5,2.9,0.0,1.9,10
2015-11-18,23.4,18.3,29.7,2.9,0.0,1.9,9
2015-11-19,27.3,19.6,34.0,2.9,0.0,1.9,8
2015-11-20,25.9,12.4,34.7,2.9,0.0,1.9,8
2015-11-21,21.4,6.8,29.5,2.9,0.0,1.9,8
2015-11-22,29.8,21.9,40.6,2.9,0.0,1.9,7
2015-11-23,30.0,18.9,41.9,2.9,0.0,1.9,7
2015-11-24,31.8,24.1,38.1,2.9,0.1,1.9,7
2015-11-25,30.4,19.2,40.1,3.0,0.0,1.9,6
2015-11-26,20.7,6.4,30.6,3.0,0.0,1.9,5
2015-11-27,8.2,0.1,12.9,3.0,0.3,1.9,6
2015-11-28,16.5,8.8,21.9,3.3,0.1,2.2,9
2015-11-29,16.3,7.9,24.1,3.4,0.0,2.3,11
2015-11-30,6.8,3.7,11.7,3.4,0.0,2.3,10
2015-12-01,13.3,4.6,19.6,3.4,0.0,2.3,10
2015-12-02,24.1,15.8,32.0,3.4,0.0,2.3,10
2015-12-03,23.2,12.0,32.7,3.4,0.0,2.3,10
2015-12-04,31.3,14.0,41.2,3.4,0.0,2.3,10
2015-12-05,19.9,6.1,28.4,3.4,0.0,2.3,10
2015-12-06,30.4,17.2,41.9,3.4,0.1,2.3,10
2015-12-07,36.0,29.1,43.2,3.5,0.0,2.3,9
2015-12-08,31.3,27.3,36.9,3.5,0.0,2.3,9
2015-12-09,38.5,29.1,47.5,3.5,0.0,2.3,9
2015-12-10,34.5,21.2,42.4,3.5,0.0,2.3,8
2015-12-11,30.4,24.6,34.9,3.5,0.1,2.3,8
2015-12-12,21.6,11.7,24.8,3.6,0.6,2.3,10
2015-12-13,20.5,7.7,30.4,4.2,0.0,2.9,17
2015-12-14,20.8,13.3,27.0,4.2,0.3,3.0,16
