Date,Jones Pass (970) Air Temperature Average (degF),Jones Pass (970) Air Temperature Minimum (degF),Jones Pass (970) Air Temperature Maximum (degF),Jones Pass (970) Precipitation Accumulation (in) Start of Day Values,Jones Pass (970) Precipitation Increment (in),Jones Pass (970) Snow Water Equivalent (in) Start of Day Values,Jones Pass (970) Snow Depth (in) Start of Day Values
2015-10-01,48.6,37.8,61.9,0.0,0.0,0.0,0
2015-10-02,47.8,36.5,60.3,0.0,0.0,0.0,0
2015-10-03,41.7,32.2,53.2,0.0,0.0,0.0,0
2015-10-04,42.4,32.9,53.8,0.0,0.0,0.0,0
2015-10-05,41.5,34.2,53.6,0.0,0.2,0.0,0
2015-10-06,40.3,34.7,48.2,0.2,0.3,0.0,0
2015-10-07,39.6,33.3,52.5,0.5,0.0,0.0,0
2015-10-08,31.3,,,0.5,0.0,0.0,0
2015-10-09,43.7,33.8,56.5,0.5,0.0,0.0,0
2015-10-10,44.8,34.3,60.1,0.5,0.0,0.0,0
2015-10-11,45.0,34.7,59.0,0.5,0.0,0.0,0
2015-10-12,41.9,30.4,56.7,0.5,0.0,0.0,0
2015-10-13,43.3,33.6,,0.5,0.2,0.0,0
2015-10-14,43.5,33.1,59.7,0.7,0.0,0.0,0
2015-10-15,43.7,32.9,59.7,0.7,0.0,0.0,0
2015-10-16,43.5,33.4,59.0,0.7,0.0,0.0,0
2015-10-17,43.7,34.3,59.5,0.7,0.0,0.0,0
2015-10-18,42.1,35.2,51.6,0.7,0.0,0.0,0
2015-10-19,38.3,32.4,48.6,0.7,0.0,0.0,0
2015-10-20,38.3,30.7,48.7,0.7,0.1,0.0,0
2015-10-21,35.8,31.5,39.7,0.8,0.0,0.0,0
2015-10-22,33.8,31.3,38.1,0.8,0.8,0.2,1
2015-10-23,32.7,28.2,36.7,1.6,0.2,0.9,6
2015-10-24,30.0,21.4,45.0,1.8,0.0,1.1,6
2015-10-25,33.3,25.0,43.0,1.8,0.0,1.1,6
2015-10-26,33.3,26.4,39.0,1.8,0.0,0.8,5
2015-10-27,27.7,22.8,37.4,1.8,0.3,1.0,6
2015-10-28,26.4,16.3,35.8,2.1,0.3,1.2,6
2015-10-29,31.8,24.1,43.7,2.4,0.1,1.2,7
2015-10-30,28.4,21.2,32.9,2.5,0.0,1.2,6
2015-10-31,31.8,26.8,37.9,2.5,0.3,1.3,8
2015-11-01,34.3,25.7,46.8,2.8,0.4,1.3,7
2015-11-02,37.2,28.9,53.1,3.2,0.1,1.4,7
2015-11-03,37.2,30.2,48.7,3.3,0.1,1.4,7
2015-11-04,31.6,24.3,38.8,3.4,0.4,1.4,7
2015-11-05,21.9,17.6,27.0,3.8,0.0,1.9,11
2015-11-06,18.9,16.3,21.4,3.8,0.2,2.3,17
2015-11-07,20.7,3.7,35.8,4.0,0.1,2.5,17
2015-11-08,25.3,15.8,41.2,4.1,0.0,2.5,14
2015-11-09,25.0,13.8,41.2,4.1,0.0,2.5,14
2015-11-10,29.8,20.3,41.9,4.1,0.8,2.5,12
2015-11-11,17.8,9.1,23.9,4.9,0.0,2.6,18
2015-11-12,15.4,6.6,30.0,4.9,0.0,3.3,21
2015-11-13,19.6,8.6,35.2,4.9,0.1,3.3,20
2015-11-14,25.0,16.9,41.5,5.0,0.0,3.1,15
2015-11-15,24.1,14.4,39.6,5.0,0.0,3.1,17
2015-11-16,25.5,21.0,34.9,5.0,0.8,3.1,16
2015-11-17,18.1,14.9,23.7,5.8,0.2,3.4,23
2015-11-18,21.6,19.4,23.9,6.0,0.4,3.8,26
2015-11-19,24.4,19.6,29.3,6.4,0.7,4.3,30
2015-11-20,21.4,6.6,28.9,7.1,0.1,4.3,30
2015-11-21,9.9,-4.5,23.5,7.2,0.0,5.0,32
2015-11-22,19.9,10.0,34.3,7.2,0.1,5.0,29
2015-11-23,22.6,16.2,34.7,7.3,0.1,5.0,26
2015-11-24,24.3,17.4,34.9,7.4,0.0,5.0,25
2015-11-25,28.9,16.9,41.5,7.4,0.3,5.0,25
2015-11-26,25.0,17.6,32.0,7.7,0.0,5.0,23
2015-11-27,22.8,10.9,31.6,7.7,0.0,5.0,26
2015-11-28,19.9,12.2,27.0,7.7,0.0,5.0,24
2015-11-29,16.0,9.9,23.5,7.7,0.0,5.3,25
2015-11-30,6.4,0.1,11.7,7.7,0.0,5.5,27
2015-12-01,7.3,-3.6,16.2,7.7,0.0,5.5,27
2015-12-02,16.0,4.1,29.7,7.7,0.1,5.5,26
2015-12-03,19.9,12.4,31.5,7.8,0.0,5.5,25
2015-12-04,27.7,14.2,42.4,7.8,0.0,5.5,25
2015-12-05,17.6,4.6,26.8,7.8,0.0,5.5,24
2015-12-06,21.2,4.3,36.7,7.8,0.2,5.6,25
2015-12-07,29.1,16.7,39.4,8.0,0.4,5.5,24
2015-12-08,28.8,22.6,35.1,8.4,0.0,5.4,24
2015-12-09,33.4,21.2,44.6,8.4,0.2,5.4,24
2015-12-10,34.7,22.6,41.4,8.6,0.0,5.1,23
2015-12-11,27.5,21.9,34.3,8.6,0.0,5.1,23
2015-12-12,21.2,11.8,27.3,8.6,0.1,5.4,25
2015-12-13,14.0,1.8,23.5,8.7,0.0,6.1,29
2015-12-14,22.1,14.4,32.2,8.7,0.5,6.1,26
2015-12-15,11.3,4.5,18.7,9.2,0.4,6.3,32
2015-12-16,6.4,1.9,12.2,9.6,0.1,7.2,35
2015-12-17,3.4,-4.0,8.4,9.7,0.1,7.2,35
2015-12-18,18.0,8.4,28.6,9.8,0.2,7.4,35
2015-12-19,23.4,14.7,34.2,10.0,0.1,7.2,34
2015-12-20,21.0,17.4,28.4,10.1,0.1,7.1,31
2015-12-21,20.7,17.4,25.0,10.2,0.2,7.1,34
2015-12-22,23.9,16.0,28.4,10.4,0.2,7.1,34
2015-12-23,11.7,3.4,19.2,10.6,0.1,7.5,36
2015-12-24,6.1,-2.6,12.6,10.7,0.1,8.0,39
2015-12-25,13.3,2.5,22.1,10.8,0.1,8.0,38
2015-12-26,0.7,-8.5,10.0,10.9,0.0,8.3,38
2015-12-27,9.3,-2.9,24.6,10.9,0.0,8.3,38
2015-12-28,10.9,3.0,21.4,10.9,0.0,8.3,37
2015-12-29,7.3,-1.5,19.9,10.9,0.0,8.3,36
2015-12-30,2.7,-6.9,12.9,10.9,0.1,8.3,36
2015-12-31,-0.9,-8.7,11.3,11.0,0.0,8.5,36
2016-01-01,3.4,-8.3,18.3,11.0,0.0,8.5,35
2016-01-02,13.1,2.5,26.8,11.0,0.1,8.5,35
2016-01-03,19.6,11.7,34.2,11.1,0.1,8.5,35
2016-01-04,23.0,15.6,36.3,11.2,0.0,8.5,34
2016-01-05,21.7,12.9,37.6,11.2,0.0,8.5,34
2016-01-06,20.8,11.3,32.2,11.2,0.1,8.5,33
